post|label
@Pedro_Balboa #351 Cerrar Por lo que se lee, los votantes de izquierdas son personas necias, cegadas, mezquinas Y por lo que se te lee tu eres un ser de luz, ponderado y empatico, vamos lo que se dice una eminencia y ejemplo a seguir.|1
Sánchez respira un poco más, una jueza a la que Bolaños y el equipo sincronizado NO va a criticar por su actuación. Glez. Amador no está en nómina del PSOE.|0
@AFALEADOR #6 Cerrar Que un personaje sin escrúpulos, como Sánchez, esté desintegrando una nación con 2000 años de historia, sin que nadie haga nada por evitarlo, ratifica que la democracia española ha fracasado. y el rey?, para que sirve ?|0
Audios demoledores. Está señora debe ser arrestada inmediatamente|0
El PP ya celebró ayer su manifestación en la que quedó patente que Feijóo ha tocado techo, lo que quedó patente por el fracaso en el número de asistentes. El PP ya ha celebrado 6 manifestaciones en 2 años. Esa estrategia ya está amortizada. ¿Y ahora qué? ¿Qué ha cambiado? Pues ahora, como la concentración fue un fracaso, volvemos a los casos fake del FGE y los de la mujer y el hermano de Pedro Sánchez.|0
Democracia, por supuesto, pero ni la del PSOE ni la del PP... A ver qué otro partido sabría respetar auténticamente una democracia... Ya, no hay ninguno.|0
@JoseJuanMartinez #50 Cerrar Mafia el PP, Mafia PSOE, Mafia Sumar y Podemos. A los españoles solo les queda una via decente, se llama  Falange . Si, la que tengo entre las piernas.|1
@roky2012 #106 Cerrar @ enriqueyahoo # 94 Qué paso en el 2020 con la noción de censura propuesta por VOX o es que se os va la memoria Era imposible de ganar. Abascal ha perdido la cabeza, pero ya definitivamente.|0
Pues yo soy mecánico de coches y no se encuentra relevo en un país con 23 millones de vehículos y mira que ganó pasta ,a ve si va ser que no se quiere manchar nadie en nada.......|0
La información de Chema Rodríguez especifica que los plazos actuales para la investigación de las causas incoadas, fueron introducidos en el artículo 324 de la LEC por el PP en 2015, es decir, el juez sevillano plantea llevar a la Justicia europea algo que está en nuestro ordenamiento desde hace diez años. Viendo las cosas que se le ocurren a este juez, no me extraña que no le dé tiempo a concluir la causas pendientes en tiempo y forma.|0
@FURILO #482 Cerrar Y no procesa a Mazon, por las mas de 200.000 personas muertas `por el Covid? Eso que el gobierno dijo que solo serian una o dos!! No hombre, cómo va a procesar a Mazón, para el PP 228 muertos son calderilla.|0
Dónde está el honradísimo señor Espadas???!!!|0
No lo he llevado a cabo en nombre ni en representación de nadie Entonces ¿porqué ayer entregaste un pen drive con la información obtenida para tu libro al PSOE?|0
El nos devolverá los 400000 euros. Que devolverá Griñan,Abalos,tito berni, la Begoña,el dinero de la PALMA y el de LA RIERADA DE VALENCIA, ETC ETC ETC.|0
Los Psoeprano. Tal cual.|0
Ya ha salido la manada sanchista, a criticar la decisión del Tribunal Supremo , con sus embustes y bulos|0
Una podemonders.....no es como Jessica , si no volaría milllones|0
@Burgos2 #263 Cerrar @ Paracelsa # 219 CHURRI DE AYUSO JEJE Socialista, me llamo Antonio por si te sirve de pista. Que le van a condenar es un realidad por que es un delincuente y ha delinquido, si ahora quieres especular y mirar para otro lado como hacen tus lideres, tu mismo. Cada palo que aguante su vela majo.|0
Se ríen de nosotros,esto es una tomadura de pelo y una burla completa.Hay que salir a la calle,ir a por ellos y darles un escarmiento que no les queden ganas ni de salir de su casa.Delincuentes!!!;|0
@Juanfelipe #21 Cerrar Si al final hay condena no cabe otra que la dimisión. SI condenaran a la mujer de Sánchez, aunque este no supiera lo que hacía su mujer con la cátedra, la derecha exigirá desde el primer minuto su dimisión. Pues ecactamente igual Y por qué exactamente tendría que dimitir??? Cuando supuestamente cometió los delitos no tenían ninguna relación. Pero como no podéis con Ayuso, pues a pedir sin más. No te veo decir lo mismo del mentiroso de Sánchez, que lleva mintiendo a España desde que se aupó en el poder, y seguimos sin presupuestos, por lo que tendría que convocar elecciones|0
@Hitz #62 Cerrar Nada del otro mundo, Inglaterra e Irlanda del Norte, llevan disputando partidos internacionales, desde hace mucho tiempo y no pasa nada. Pero no juega Escocia, ni Inglaterra contra el Reino Unido, ni la región inglesa de West Midlands contra Inglaterra. ¿Entiende la diferencia o le parece demasiado complicado?|0
@luik2021 #389 Cerrar Y si. condenan al novio de Ayuso que? Por eso Pedro Sánchez es mejor mal de muchos consuelo de tontorrones que sois todos a los que ha comido la cabeza el aprendiz de dictador hombre, al menos que no venga la frutera dando lecciones morales. Yo sólo pido eso.|0
Veo que muchos siguen con el mantra que los supuestos delitos de Amador fueron antes de la relacion con isabel, y no es verdad, el supuesto delito por el que está imputado fue en 2021 y ya estaban juntos. Buen dia|0
@moreno1984 #107 Cerrar Pues yo iré con mi bandera, sr Feijoo. Faltaba más que me dijera como tengo que ir o qué decir. Y el águila también la vas a traer...|0
@ADELE_ #199 Cerrar @ pagafiestas # 189 Buenooo, qué comentario tan bien argumentado. Mire, le he traído bellotas, mire qué ricas. Pero no me muerda, hombre, coma sin prisas. jajaja, bellotero totalmente, estará contento y feliz con la cena que le proporcionas. Ten cuidado con la mano, que ya sabes, comen de todo.|0
@in99 #54 Cerrar @ mimundo69 # 22 yo creo que en Madrid es una política de defenestrar sistemáticamente lo publico para generar negocio privado. Sanidad privada, concetados, universidades privadas. Es todo un paquete muy jugoso yo creo que no, además creo que lo que dice usted es una auténtica tontería.|0
@ADELE_ #405 Cerrar @ Airborne # 402 Me gusta muchísimo tu rabia, pero no se puede canjear por votos reales JO QUÉ PENA Poco debes de trabajar bueno si aqui de mamporrero del PSOE porque siempre estas en todos los fregaos de articulos blanqueando la corrupción del PSOE con tus comentarios.|0
TVE la tenían que pagar los afiliados y simpatizantes del PSOE|0
@Pedro_Balboa #323 Cerrar @ _Placebo72 # 318 Yo no, pero, al parecer, el juez sí. Puesto que García Ortiz es el único del que se conoce que filtró los documentos originales (no sólo el chascarrillo). es culpable, y será condenado acorde a ello. Aunque todos sabemos que esos documentos los filtro con anterioridad el UNO, pero las pruebas de ello fueron destruidas y, afortunadamente, todavía vivimos en un país donde no se puede juzgar sin pruebas... no invente.|0
@ADELE_ #230 Cerrar @ nocomments # 220 Por se le permite es un comienzo fantástico, señor. En fin, estudie, nunca es tarde. mejoraré mis pulsaciones en WhatsApp. Ante su incultura le indicó que ponía Por ESO se le permite [..] Por lo demás, la sociedad no le debe nada a sus padres, todo lo contrario. Difame, que solo se refleja a sí mismo y a los de su calaña.|0
¿Casi 50 años de camino hacia una democracia consolidada para llegar a este extremo de perversión? Sigo pensando que el PNV y los de Junts son responsables de tanta abyección.|0
@pagafiestas #169 Cerrar @ Bartleby # 153 Un borrego sanchista tachando de rebaño a los demás. Para ir a mear y no echar gota. al único borrego que leo es a ti. Compra un euro de bosque y piérdete.|1
@PepinilloAgridulce #461 Cerrar Vuelvo a repetir lo mismo, un señor, que tiene el 25% de una sociedad, que es un particular, y que solamente a él se le esté dilapidando por un tema privado, de cuando no lo conocia ni el tato, tan sólo porque actualmente es el novio de Ayuso. Mientras que Bego, todo el tráfico de influencias lo ha realizado siendo la mujer del presidente del gobierno, no es comparable. Si todo el mangoneo, lo hubiese hecho antes de conocer a Sánchez probablemente la defendería, pero el mangoneo, y las gestiones de un rescate multimillonario con dinero público, lo ha hecho aprovechando su condición de mujer consorte del sátrapa. No es comparable, por más que los trolls sociatas quieran hacerlo. ya está bien con el rescate, fue un PRESTAMO. Y se hizo bien.|0
@Colectivo #130 Cerrar Si es que, si es que te obligan a votar a la ultraderecha, son los únicos hoy por hoy que cumplen la ley. A usted no hay que obligarle mucho para votar a la ultraderecha, señor.|0
@Chozo #114 Cerrar @ Jicosa # 97 El que paga manda y Ayuso tiene a Manso cogido un poquito por encima de las zapatillas porque es muy bajito. Como su ética periodística. así es. En éste panfleto político, manda la comunidad de Madrid y luego ordena el correveidile de Ferraz, es realmente un medio político. Jamás publican noticias que dañen o puedan dañar a la presidencia de la comunidad de Madrid. Lo de hoy con el responsable de seguridad de la Consejería de Sanidad madrileña, es realmente grave. El director ha recibido orden de no publicar la noticia y por eso no aparece ni abajo ni en pequeñito, como siempre suelen publicar lo que no les favorece. Ésto es una patraña de medio.|0
@El_futuro_ya_paso #267 Cerrar Ista, ista, ista... La España Socialista PP TRES VECES CONDENADO POR CORRUPCION, JEJE. RATO, ZAPLANA ETC JEJE. AYUSO Y SYS ANCIANOS, POLICIA PATRIOTA, UCO PATRIOTA, MINISTRO DEL INTERIOR TIC TAC, ESTAIS ACABADOS JEJE. Y Q CURIOSO Q EL PSOE NO. JAJAJAJA|0
@moreno1984 #107 Cerrar Pues yo iré con mi bandera, sr Feijoo. Faltaba más que me dijera como tengo que ir o qué decir. Pues claro que sí! Esa bandera del aguilucho anima cualquier manifestación.|0
Y a mí que me importa el novio de Ayuso?|0
@Juanfelipe #187 Cerrar @ Santi86 # 180 Ya sabes que todo esto es la táctica del PP, ya la usó antes y Feijóo en Galicia, hacer ver que por un caso (Ábalos) y dos casitos más de nada, todo es corrupción. Es la falta de nivel y programa del PP y la mediocridad de sus líderes como Feijóo, Ayuso..... Uuuuuyyyyy me da que en realidad solo apoyas a la UCO cuando te interesa.|0
Divide y venceras.|0
@Nachoruiz #121 Cerrar Entonces van a asistir a la manida M punto Rajoy, el de los sobresueldos que creó la policía patriótica, el amigo del narco y el de las armas de destrucción masiva cuyos ministros acabaron todos imputados. Y la convocan desde una sede pagada en negro. Olé la decencia. Olé la mafia Que te pongas ahora a hablar de Rajoy, cuando el PSOE está hasta las trancas de corrupción, que fue precisanente la excusa para sacar al PP del gobierno, es de traca.|0
La pasta, humillaciones, y sobre todo, víctimas, que nos hubiésemos ahorrado si a esta gente se les hubiese reconocido la independencia. Esto ellos no lo quieren, es de boquilla. La prueba es que aprovechan para desangrar al resto, en el más amplio sentido de la palabra. Pero todos los gobiernos han mordido el anzuelo y así estamos|0
Menuda tiparraca !! ,...es capaz de hacer todo lo malo que se pueda pensar ! ,..le miras la cara y se ve el odio y guerracivilismo que tienen la gente del PSOE , ...|1
Este si que va pa'lante|0
@Bartleby #277 Cerrar @ tienesrazon # 159 tú eres muy especial. Y encima, en tu casa no lo saben. Deben ser casi tan especiales como tú. Casi, porque es imposible. Jajajajaja. Habló Barti y dijo miau...|0
@Moderado #380 Cerrar @ uno_que_pasaba # 360 Perdona, pero tu razón amiento parece el de un niño de 5 años. Viendo el nivel que tenéis algunos no me extraña que os comáis con patatas todo lo que dice este diario y otros. ¿Sabes por qué a TVE, el país, la ser, el plural, eldiario se les llama equipo de opinión sincronizada? Venga, dale una vuelta a ver si lo entiendes. Les he visto lanzar los argumentos más ridículos para defender al gobierno. Ya no informan, justifican todo lo que hace el gobierno y critican todo lo que hace la oposición ¿Recuerdas el bulo de los dos DNI del juez Peinado? Pues es solo un ejemplo.|0
Como le quedará el traje de presidiario al pelucas? Deseando ver la foto|0
@Orate #33 Cerrar A pesar de ese artículo 324 de la LEC, modificado en 2020 y que limita el plazo de investigación de las causas incoadas, los procesos en España se alargan años y años. Ahora este juez pretende recurrir a Europa porque no tiene tiempo para cerrar en tiempo y forma, asuntos heredados de la jueza Alaya, casos que datan de hacen más de diez años. Ya me está dando vergüenza de la respuesta que le van a dar. Tú prefieres el archivo por prescripción como hacía Núñez Bolaños, lo que debería darte vergüenza es mirarte al espejo...|0
@N0RL #53 Cerrar @ Supernova # 26 cambia tus fuentes. Ayuso y el defraudador confeso que se sepa, llevan desde mayo de 2021. Los ejercicios fiscales por lo que se le imputan son, el ejercicio 2020, la presentación de la liquidación del impuesto se realiza en el año 2021 ( ya estaban ) y la liquidación del ejercicio 2021 se presenta en el año 2022 ( llevaban que se sepa un año ). Además, la regularización extemporánea intentado regularizar lo mal hecho ( eso que dijo ella desde un atril de la CM que hacienda le debía 600.000) corresponde al ejercicio 2022 y se presenta en el año 2023 ( seguían estando juntos ). Y siguen. , pretende usted hacer creer lo que no es, es decir la influencia de IDA en lo realizado por su novio. En primer lugar se trata de un Impuesto estatal donde Ayuso no puede tener ninguna influencia, puesto que gobierna Pedro Sánchez. Luego, el ejercicio 2020 se cierra el 31​/12 de ese año, aunque se liquide en 2021, y luego la regularización se hace del 2022 y obviamente se hace en el 2023 que es cuando se liquida. Y por último a cualquier empresa que reconozca y pretenda hacer una regularización de la situación fiscal anomala y deposite su importe, excepto si no se está de acuerdo con la liquidación, se da por liquidada, excepto en este caso. De todas las formas IDA no tiene nada que ver con ello, ni su novio se puede aprovechar de su situación política puesto que como he dicho es un impuesto estatal|0
Lo público... pagamos impuestos para tener servicios tercermundistas. No hay para sanidad, no hay para educación, no hay para la ELA pero hay para menas e ilegales. Disfrutad de lo votado.|1
@Detergente #44 Cerrar ¿ De quien depende el diario El País ? Pues eso no es una cuestión de quien depende de quien. Los periodistas han remitido al juez, los watsapp que les informaron del pacto de González Amador con Hacienda .|0
Me suena a un discurso de pseudomedio muy plural|0
Buñuelos ministro de justicia cargando contra los jueces que no se doblegan a su amo Sánchez. El zorro cuidando las gallinas. De locos.|0
@angelisa #66 Cerrar España se hunde. Las cosas siempre se hunden por los pies, por si no lo sabías.|0
@Ciudadanno #433 Cerrar Todos los votos por correo, por primera vez, fueron enviados a la sala de la democracia en Correos-Vallecas, donde pasaron entre 3 y 30 días en unas cajas no supervisadas por nadie pero bajo control del presidente de Correos y ex-jefe de gabinete de Sánchez, que fue el que introdujo ese paso en el proceso. Todo el voto por correo de la comunidad de Madrid ¿1 millón de votos?, en una sala custodiada por socialistas durante un mes... ahí lo dejo. tenéis miedo de volver a perder, verdad?|0
@ISAAC007 #103 Cerrar LO DE GRAN PAÍS ES REALMENTE ESPERPÉNTICO JAJAJAJA . . ESPAÑA GRAN PAIS JAJAJAJA ME MEO . Ahora mismo el mejor de la unión europea, mira los números|0
Alguien duda que PSOE Andalucía era la vaca lechera para PSOE España??|0
O a la calle o nos jodemos todos... esto va al mismo ritmo que ya he vivido antes no muy lejos de aquí.|0
Nunca se han acumulado tantos casos de corrupción en torno a un Gobierno y en torno a la familia y amigos del Presidente. VERGÜENZA. Me creo más a Aldama. Está aportando audios de los tejemanejes de este DesGobierno mafioso. Entre pillos anda el juego. ELECCIONES YA|0
Desengañemonos las buenas manifestaciones han sido las de la derecha en MARQUÉS DE URQUIJO. Ahí casi tiré un contenedor al suelo. No me dejó mi hija.|0
@DDavid #640 Cerrar Por lo que se lee por aquí, los incondicionales del partido rojo tienen la instrucción de salir a pelear con ellas y dientes. Años atrás les tocó a los del partido azul. Los que no nos vestimos suele del mismo color estamos asustados de la poca objetividad con la que leen la realidad rojos, azules, morados y verdes. ¿Nos moriremos viendo que esto cambie? Este pobre no se entera, por lo tanto no debería votar.|0
Lo siento pero no me fio de ella.|0
@N0RL #221 Cerrar @ andoni1988 # 191 verás tú la pieza separada lo que va a dar de sí. Espera no imputen a F Camino el Presidente de Quirón prevención. no se preocupe encontrarsn un juez independiente de esoss de franco santo y señor|0
Es el Fiscal General del Estado y no dimite ni el Presidente del Gobierno quiere cesarlo. Este es el país donde vivimos y pagamos impuestos. Yo, pasmada.|0
Periodistas de EL PAÍS ratifican ante el juez que conocieron el pacto que buscaba la pareja de Ayuso antes de que lo reclamara el fiscal general. El juez ofrece a un periodista que aporte más mensajes que acreditan que sabía que González Amador aceptaba admitir los delitos y pagar una multa.|0
Algo que devir de la Chiqui... o sea Montero, ole, ole.|0
@jccmjccm #64 Cerrar @ WoIlstonecraft # 50 . Decir que los alumnos con media de notables en Bachillerato, muchos de ellos cercanos al sobresaliente, que no han asimilado bien la materia es cuando menos atrevido. Le aconsejo que mire cómo se calcula la nota final de la EBAU, PAU, o selectividad. En este mismo periódico tiene artículos que lo explican estupendamente.Saludos. Muchas gracias por su amable consejo, ahorita mismo sin falta me pongo a leer artículos de este mismo periódico hasta encontrar lo que me indica y hablamos al año que viene. Por otra parte en este mismo periódico tiene artículos que explican que un 7 no es un 7. Yo le facilito las cosas: El gran engaño de la educación en España: Es una estafa piramidal, hacemos creer a los alumnos que saben más de lo que saben y Querido alumno: te estamos engañando. Seguro que con Google los encuentra. Saludos.|0
@Miraluna #403 Cerrar ¡JUANMA MORENO! ¿Y tu que has hecho en todo esto después de seis años? NAAAAAADA. Los mismos enchufados en los mismos puestos de privelegio por tener el carnet del PSOE. Ni siquiera has removido cargos directivos por miedo a molestar.... ¡¡COBARDE!!! ANDALUCIA EMPRENDE. 49 MILLONES DE EUROS AL AÑO manteniendo a los mismos directivos y privilegiados que puso el PSOE sin concurso ni oposición, sólo por ser significados del partido. No es que los eches. es que no los sigas privilegiando. ¡¡Pero que menos que eso!! Pero si te lo esta diciendo el articulo , los queda tar enchufados que no se los puede echar , ahora esr ta haciendo lo mismo en todo los organismos del estado, y si algyn dia gobierna otro (que yo ya empoiezo a dudar que con ls cambios de leyes que esta haciendo no se perpetue) pues soib saliera como decia , tendra caballos de troya metidos en todos sitio para que no pueda hacer nada , estos es la mafia que nos gobierna|0
Ruiz-Jarabo, director AEAT 1998-2001: 1º Es praxis consuetudinaria de la Fiscalía hacer un seguidismo acrítico de lo que denuncia la AEAT. No recuerdo un solo caso, ni en mi etapa en la AEAT ni en la que ejercí como profesional del asesoramiento fiscal, en el que la fiscalía se haya opuesto a la opinión de la inspección de Hacienda.|0
La ultraderecha ataca de nuevo los planes de los corruptos?|0
Se acabó el tiempo de Belen Esteban!!! Con 55 y pico ya no vende, q va a decir, no le queda nada!!!|0
Esto da para una serie de cinco temporadas, jajajaja.|0
La cara de esta Leire le delata. En el PSOE tienen cloacas bien escogidas. Putrefacción y corrupción Sanchistas y al por mayor. Quien lo diría de un mentiroso que dijo que venía a REGENERAR.|1
@ADELE_ #621 Cerrar @ ricardito_47 # 588 Exacto, ya es culpable porque lo ha decidido usted. Los patriotas pasan de los juicios, pasan de la justicia, pasan de todo. Yo creo que es bastante evidente que no ha actuado como lo debe hacer un fiscal general. El que sea culpable o no lo dirá la Justicia. Repase el comentario 626, del que estoy totalmente de acuerdo..|0
@Segistobre #450 Cerrar Hace unas semanas el líder de Manos Limpias adelantó lo que iba a hacer este juez. No es arriesgado pensar que el juez Hurtado tenía la decisión tomada antes de empezar a investigar y la falta de pruebas no le ha supuesto un problema para seguir adelante. ¿Qué tal por Almería, Segis?|0
@ADELE_ #497 Cerrar @ Lord_Emsworth # 483 ¿Los patriotillas que leen El Mundo? Están que echan chispas, señor. Y llevan así desde 2019. ¿Esa es su excusa para justificar su apoyo a la actitud del Fiscal General y el Gobierno? Usted realmente no cree en las bases del Estado de Derecho. Seguramente estaría más cómodo o cómoda en otro tipo de Estado menos exigente.|0
Jarabe democrático|0
No me lo creo. Será otro bulo de extrema derecha. jijijijijijiji|0
Rojos! Acabamos ya con esto o seguís votando al PSOE? Está en vuestras manos!|1
@tienesrazon #628 Cerrar ¿Y por qué Europa no hace nada?. ¿Ven normal que un Fiscal General del Estado esté procesado por revelación de secretos y no dimita?. ¿Ven normal que todo un Gobierno ataque al Poder Judicial e insulte a los jueces?. ¿Éso es normal en una democracia dentro de la UE?. Por favor, que vergüenza. Lo que no ve normal Europa y está horrorizada es con la oposición franquista que aún sobrevive en España. Von Der Leyen horrorizada de que en su país a los n4z1s se los encarcela y en España a los franquistas se los ensalza.|0
@tienesrazon #93 Cerrar Hasta Page pide elecciones ya. Somos un circo mundial por culpa de Sánchez. Mira tío, que vas a ir a la cárcel sí o sí, y por muchos temas, así que deja de hacer tanto daño al país, vete ya de una vez y convoca elecciones. @ThePipe #91 Cerrar Dimision y elecciones. Es lo minimo que se le pide a un estado democratico ante un escandalo de estas magnitudes. Para las elecciones mejor esperar un poco. Los cadáveres de Mazón todavía están calientes, deje que se enfríen un poco, que la gente olvide.|0
Del mismo modo que no se debiera mencionar a Ayuso por los asuntos de su novio, no se debiera nombrar a Sánchez por los asuntos de su esposa y de su hermano, ¿O no?. Hombre, hay que dejarse ya de rollos y lo que debería hacer Ayuso es presentar en este próximo congreso del PP su candidatura para reemplazar a Feijoo, que es lo que le piden los españoles de bien, y los primeros los 800.000 oyentes diarios de Losantos, que es su jefe de propaganda y redactor de sus discursos. Si Ayuso no se postula para ejercer la cuarta presidencia del PP en 7 años, que no está mal, y para echar a Sánchez de la Moncloa, es que ya no se puede creer en nadie.|0
@pinguino1 #81 Cerrar Nada nuevo bajo el Sol. Solamente la confirmación de como los Socialistas entienden para lo que estan los servicios Públicos, para sus propios beneficios aunque luego se esfuercen en vender que si la Sanidad y la Educación. De donde iban a vivir si no utilizan los sueldos públicos, cuando son unos inútiles sin preparación que no tienen donde caerse muertos, pues de las mordidas y la agencia de colocación del Partido con cargo a los impuestos de todos. Así como no van a votar y apoyar a la mafia, si de ello depende su propia subsistencia. Menudo timo que es la Democracia cuando esta sustentada en la Partitocracia. pregunta mejor en la ventanilla del PP Alli sabem mas de cortuptos, robo, blanqueo¿ todo eso que llevais en la sangre los patrioticos jajajaj|0
El juez agota las diligencias sin hallar ninguna prueba de que el fiscal general filtrase los mensajes de la pareja de Ayuso|0
Dónde estará el usuario @tienesrazon? Qué raro, con lo que le gusta opinar sobre todo.|0
@moskorti #238 Cerrar El comisionista y defraudador confeso pa cuando? Levanta un poco el morro de tu pesebre, Trolaños, que te vas a atragantar.|0
Bien hecho...Esta claro que con esos plazos socialistas solo se busca la impunidad judicial.|0
@Juan_Sorribes #88 Cerrar @ ADELE_ # 58 Lo cual es perfectamente irrelevante, salvo para sectarios o id i otas. ¿Hizo algún negocio con la Comunidad de Madrid gracias a su novia? ¿Hay dinero público afectado? ¿Tráfico de influencias? No, ¿verdad? Hay un empresario que se deduce lo que no debe y que cuando tiene un pacto ya negociado con Hacienda, que le obliga a declararse culpable, como es habitual, alguien descubre quién es su novia, lo para y en 24 horas lo manda a los tribunales. Lo normal es que se firme un pacto porque Hacienda pierde casi el 60% de estos pleitos, pero oye ¿vas a dejar la oportunidad de atacar a un tipo porque odias a su novia? su delito ya no era multa, por la quantidad defraudada era pena de cárcel.|0
Pero para esposas y hermanísimos si hay dinero de sobra.|0
Los mamporreros al rescate !!! Vergüenza de periodistas, para su profesión !!!!|1
Álvaro no quería perder el relato y en lugar de mirar detrás del sofá se metió en este lío.|0
Cómo se ha podido llegar a esto en España? Es necesaria una renovación completa de la política española y hay que hacerlo sin la izquierda, es el veneno|1
@MenosLamentoyMasAccion #312 Cerrar @ uno_que_pasaba # 301 ah sí? O sea que entraban más por Barajas que por Heathrow o Charles de Gaulle en París? Tú teoría no se sostiene. Madrid fue la región en EUROPA con mas mortalidad durante la pandemia, por los protocolos de la vergüenza, que abandonaron a los mayores su suerte. Usted es un mentiroso. Hubo más mortalidad en Castilla la Mancha y en Cataluña, sin ir más lejos.|0
@ADELE_ #391 Cerrar @ duncan_idaho # 382 Qué bonito ver a Duncan arrastrándose para defender a un defraudador fiscal. Si pusiese el mismo esfuerzo en el trabajo... pero no trabaja. Ten cuidado con tu salud Adelita que hoy llevas diez orgas.os desde que sabes el procesamiento de Amador, cuando encarcelen al hermano del Galgo también vas a tener un squirt ?|0
"@burrinchus #25 Cerrar Prefiero a Aldama de presidente antes que a Sánchez... Como socialista, me avergüenzo de todo lo que sucede en el partido desde ZP, con ese paréntesis de sensatez que fue Rubalcaba. Pero lo de Sánchez supera el guión más delirante que hubiéramos podido imaginar jamás en la vida. Si la izquierda española se ha convertido en kirchnerismo-chavismo, y lo seguimos apoyando \""para que no salga la derecha\"", yo os digo a todos los socialistas de este país: es mejor que gobierne Feijoo a que nos convirtamos en un apéndice de la ruina que impera en Sudamérica. Sólo nos salva, de momento, que Sánchez no puede imprimir pesos y que dependemos bastante de la pasta que nos pule la Unión Europea. Mi padre, casi 80 años, luchando por valores de izquierda desde joven, no sabe dónde meterse. totalmente de acuerdo. Lo único que está salvando a España es pertenecer a la UE,"|0
Al final Sánchez va a ser Superman de verdad, como dicen en USA! Con todo en contra, y los inversores metiendo pasta como locos en España!|0
