"post"|"label"|"label_100k"|"label_600k"|"label_50k_best"
"20"|"@Novale #304 Cerrar @ Quetevotetxapapote # 271 ojalá. Si hicieran eso el psoe gobernaría otros 8 años. Suficientes para llegar al pleno empleo y resolver de una vez los problemas de este país. El PSOE de Zparo no va a lograr el pleno empleo. Sus cifras falsas como las de Tezanos, quizá, pero sal a la calle, mira la realidad, y verás que es todo mentira."|0|0|0|"0"
"21"|"No se puede ser equidistante con la que está cayendo. La degradación institucional y las leyes inconstitucionales que se han aprobado y que se quieren aprobar para debilitar nuestro estado de derecho y beneficiar a un golpista fugado y a las minorías xenófobas nacionalistas que sostienen a Sánchez en la presidencia para que controle el poder y pervierta el orden constitucional son intolerables y constituyen alta traición a la nación española."|0|1|0|"1"
"22"|"A mi la noticia no me salpica, soy extremeño, y al cínico de Gallardo lo tengo más cerca."|0|0|0|"1"
"23"|"@Centripeto #10 Cerrar @ Novale # 5 El juez sabe que el grupo parlamentario PSOE, que apoya al gobierno, es Legislativo. quiere usted decir que la ley ha sido aprobada por los representantes parlamentarios de la mayoría de los españoles? Es que eso no es el Gobierno."|0|1|1|"1"
"24"|"@Rundcritic #150 Cerrar @ ADELE_ # 130 Vd. se entera de bastante poco o de nada. Puesto que parece que lee la prensa o se la leen, busque en la hemeroteca la información relativa a las elecciones de 2023 para saber quién fue el ganador. Sí, he mirado en la prensa y el ganador de las elecciones fue Abascal con 19 escaños menos."|0|0|0|"1"
"25"|"Cómo es posible que se ponga en libertad a un personaje como Aldama inmerso en el.proceso de Hidrocarburos, con un pastizal en el extranjero.....y sin aportar ni una sola prueba desde que salio...... GOLPE DE ESTADO Con TOGAS....."|0|1|0|"1"
"26"|"@jonbil37 #116 Cerrar Aquellos casos de Villarejo y Bárcenas que dice usted eran mucho más graves porque eran por espionaje a otros partidos y robo de millones de euros. En lo del FGE, Begoña y David no hay cuantificado ningún botín en euros y los presuntos delitos son de mucha menor entidad se te olvidó tomarte la pastilla esta mañana y por eso dices estas cosas. Si te parece bien todo lo que está pasando en España es que eres al menos tan corrupto e inmoral que ellos. Poco más puede pasar ya en este país por parte de esta jarcia que nos pueda sorprender."|0|1|0|"1"
"27"|"@Madison #220 Cerrar @ Havane # 70 ¿esos que borró el fiscal en un ejercicio de total transparencia??? tú hubieras borrado tu móvil si sabes que te van a investigar. Yo también, no quiero que se sepan mis asuntos privados. El FGE tiene y maneja información muy sensible de muchos ciudadanos, empresas etc etcétera, hizo bien en borrar y así proteger el anónimato de muchas personas en asuntos que sólo la justicia puede saber."|0|0|0|"1"
"28"|"@elamargado #33 Cerrar @ AndresOD # 5  salir a la calle??? Totalmente de acuerdo contigo. Pero claro quien pone el cascabel al gato!!! Tu! Yo!! Y sanchez se descojona de todos! Se ríe de nuestra cara! Se acuesta feliz todos los días! Aquí ni oposición, ni el rey ( que esta aquí para defender y proteger a los españoles)aquí es todo comentarios, críticas,etc..aquí NO SE MUEVE NADIE!! ni intelectuales, ni artistas,deportistas, ni funcionarios,ni jueces,etc....Sanchez lo tiene bien atado! Sálvese quien pueda! Ya. Pero luego hay manifestaciones y todos, ay es que tengo una fiesta. Uy yo imposible que tengo a los niños etc. A mi también me va de qlo pasar la mañana de pie en una manifestación. Y sin embargo voy. Qué menos. Precisamente voy por los hijos. Por su futuro.
"|0|1|0|"1"
"29"|"Los de la banda del Peugeot, de aquéllos barros estos lodos. El PSOE sanchista de la corrupción institucionalizada."|0|1|0|"1"
"30"|"@ADELE_ #219 Cerrar @ largo # 210 No, señor. La diferencia es que la corrupción del PSOE se expone y la del PP se barre bajo la alfombra. Y además la del PP está almendrada. Y por cierto, si hablamos de lo cualitativo: en la gürtel, se adjudicaron contratos a amiguetes (mal) , pero en los EREs de Andalucía, se gastaron DINERO DE LAS ARCAS PÚBLICAS en indemnizaciones por despido a amiguetes que nunca habían trabajado, gambas, polvitos blancos, señoritas y otros entretenimientos (muy mal). Y de Ábalos, ya ni hablamos."|0|1|1|"1"
"31"|"@Clarisima #4 Cerrar Muy bien. Ahora a ver si hacen lo mismo con la familia Sanchesku, Koldo, Ábalos, Tito Berni, Leire la fontanera, Fiscal Gral del Estado, etc etc etc etc etc te falta otro etc."|0|0|0|"0"
"32"|"Leire pa alante, usando la jerga de su amigo Óscar López del PSOE. Esperemos que a Leire la sigan el resto de corruptos, empezando por el jefe."|0|1|1|"1"
"33"|"Hay permiso ya de los jueces y de la fiscalía para apalear a esta gente? Creo que hay jurisprudencia y es legal ."|1|0|0|"1"
"34"|"@Novale #5 Cerrar Habrá que explicarle al juez que los plazos no los establece el Gobierno, sino el legislativo. ¿Se puede ser juez sin saber eso? Mae mía mae mía...deja de hacer el ridículo chaval que das mucha lástima"|0|1|1|"1"
"35"|"Los presidentes autonómicos del PP no son capaces ni de acordar entre ellos solos una propuesta de financiación autonómica y por eso jamás la han presentado, tampoco Ayuso, que se supone que es la lista del grupo. Exigen dinero, cada uno para su región tan maltratada, pero sin ofrecer una alternativa común que deje conformes a todos. Le van a cantar las 40 a Sánchez pero solo porque son unos cantantes...y cantantas."|0|1|1|"1"
"36"|"@Seseno #63 Cerrar No pasa nada si nos atacan o tenemos algún problema con alguien (los vecinos del sur probablemente), mientras nos corren a pedrazos hasta los Pirineos nosotros iremos cantando y repartiendo flores al enemigo; por algo somos mas pacifistas, ecologistas, y progresistas que nadie. Ya vendrán otros a defendernos (previo pago) mientras a nosotros nos faltarán piernas para salir corriendo. ¿qué pasa, que no tenemos fragatas y cazas, tanques e infantería? ¿A dónde va todo lo que pagamos? Este incremento presupuestario es para hacer negocios, para enriquecimiento de truhanes: lobbies, comisionistas, intermediarios..."|0|1|0|"1"
"37"|"@Rosbrut #21 Cerrar @ Demogracias # 17 no digas tntrias. Lo que es una estrategia es dedicar solo una hora para hablar de temas tan importantes. Sea de quien sea la culpa. Los justificadores del PSOE sois expertos en dar la vuelta a las cosas como un calcetín. Estos tíos (todos) cobran una barbaridad como para tener que quedarse una noche en un hotel y continuar al día siguiente una reunión tan importante. El PP sabe que metiendo todo que ha metido en el Orden del Dia, y con diecisiete Presidentes para tomar la palabra. No hay tiempo. Y la Conferencia sería un fiasco. Esa era su única intención. Ahora bien,tienes razón , que la alarguen al día siguiente . Pero tampoco lo harán. Aunque los del PSOE lo plantearan , el PP no lo aceptaría. Necesita vivir con la política barrio bajera en la que se ha instalado."|0|1|0|"1"
"38"|"Es increíble como vienen foristas aquí a justificar el desastre del PSOE con lo de Ayuso, a la que no se ha imputado y novia de un señor que presuntamente cometió delitos cuando no la conocía. El que Ayuso pueda tener o no una cuenta con la justicia no quita el desastre magnanimo de el Gobierno de Sanchez y su carrera a imponer el Sanchismo en España, ES SURREALISTA SEÑORES."|0|1|0|"1"
"39"|"@Pedro_Balboa #327 Cerrar @ ElVentorro # 321 A parte de que esos datos son absolutamente manipulados, manda narices que los «socialistas» defiendan que «el estar bien de un estado» tiene una fundamentación meramente económica (y no social). La realidad social es que no se puede comprar una casa, que no se puede salir a la calle con la tranquilidad de que no te apuñale un moro, que la gente no tiene ni para el alquiler, que los servicios públicos funcionan peor que nunca, que la educación es la peor de los últimos cien años, y que hay más violaciones que nunca en el país. Preferiría ir un poco más apretado en mi presupuesto y que las cosas fueran como hace veinte o treinta años. Que no se pueden comprar una casa ? Parafraseando a vuestro admirado Aznar , si la vivienda está cara es por que los españoles la pueden pagar"|0|1|1|"1"
"40"|"@lerougeetlenoir #142 Cerrar @ Segistobre # 66 a ver iluminati...untàis con el dinero de todos, todo lo q se menea. No conocèis la vergüenza. Ve a por el pienso anda lo dice el que se lleva un sándwich de chopped por defender a la frutona. Sois un meme."|1|1|1|"1"
"41"|"Pájara. En sentido literal y figurado."|0|0|0|"1"
"42"|"No es de extrañar con una ministra portavoz que a su vez el ministra de Educación y que no sabe ni hablar correctamente, y que no ha hecho absolutamente nada por la universidad pública aparte de criticar a las privadas"|0|1|1|"1"
"43"|"Uno de nuestros mejores políticos con clase y sobre todo saber lo que dice y cuando lo dice Pedro, te quedan unos telediarios ,ya te están buscando el sustituto"|0|1|1|"1"
"44"|"@LaAmenazadeLosgolpistas #239 Cerrar Una accion más de la caceria nauseabunda de los jueces del fango contra el gobierno democrático de España. Un grupo de jueces ha puesto en práctica lo que les ordenó Aznar: El que pueda prevaricar que prevarique. El inquisidor Hurtado intenta consumar su felonia judicial contra García Ortiz Toma tila..."|1|1|1|"1"
"45"|"@onbekende #246 Cerrar @ JeanMoulin # 224 NO ES PELOTA VASCA, ES PELOTA... un deporte que ya se jugaba en el Reino de Castilla antes de que algunos a la boina la llamasen chapela. En el año 1500, el Rey Felipe el Hermoso, fallecio en Burgos despues de jugar un partido de pelota... La pelota vasca, la segoviana, la valenciana, frisona, galesa, etc ¿Son iguales? ¿Todos los deportes en que se utiliza un balón ¿Son iguales? ¿Pertenecen a la misma federación?"|0|1|0|"0"
"46"|"Hoy en día ser de izquierdas debería avergonzar a quien lo dice, es sinónimo de corrupto, pero es que antes era sinónimo que personajes de mediante el uso de la fuerza conquistaban el poder y una vez en el pin pan pun millones de víctimas. Y los trabajadores? Trabajando pero sin derechos ni que llevarse a la boca ni posibilidad de progresar"|0|1|1|"1"
"47"|"El InMundo, un panfleto progre globalista que apenas se diferencia de Lo País."|1|1|1|"1"
"48"|"De quién depende El País? Pues eso...."|0|1|0|"1"
"49"|"Pujol , lo recuerdan. El muy honorable catalán, también quiso cagarse a la UCO, cuando le informaron de los informes de investigación de la UCO , por corrupción del 3% y 4% de su gobierno y su partido. Así como al clan familiar por delitos de cohecho, trafico de influencias, delito fiscal, blanqueo de capitales, prevaricación, malversación y falsedad."|0|1|0|"1"
"50"|"Todos los votos por correo, por primera vez, fueron enviados a la sala de la democracia en Correos-Vallecas, donde pasaron entre 3 y 30 días en unas cajas no supervisadas por nadie pero bajo control del presidente de Correos y ex-jefe de gabinete de Sánchez, que fue el que introdujo ese paso en el proceso. Todo el voto por correo de la comunidad de Madrid ¿1 millón de votos?, en una sala custodiada por socialistas durante un mes... ahí lo dejo."|0|0|0|"1"
"51"|"@ntl #464 Cerrar @ _Placebo72 # 440 ¿La tesis es que se volvieron a repartir el CGPJ porque el PP en realidad no quería cambiar el sistema? ¿El mantra gubernamental de que el que la Justicia emana del pueblo significa que los partidos tienen que nombrar a los jueces era por los loles? No , Sra, la tesis es que durante los gobiernos peperos pidieron cambiar el sistema de elección, no lo hicieron y esperaron (casualmente) a estar en la oposición para pedir tal cambio."|0|1|0|"1"
"52"|"@228dead #9 Cerrar esta noticia hay que reducirla un poco más y con letras mas pequeñas y borrosas pero sobre todo cambiar el titular para que diga, la jueza se ha vuelto loca y no se cree la verdad de que la frutera y su noviete choricete todo lo hacen bien y por España No te preocupes la TVE estará meses y meses prime time con el tema...."|0|1|0|"1"
"53"|"esto también debe ser lawfare"|0|0|1|"1"
"54"|"@mercurio1 #592 Cerrar Todo sin pruebas,las tramas de la derecha y ciertos jueces son conocidas; pero tranquilos que al final lo que cuenta, como dice Ayuso,cada ciudadano un voto Cuando me expliques por qué el FG no sólo borra todos los WhatsApps , sino que RESETEA completamente su móvil , tan pronto lo señalan como RESPONSABLE de una ILEGALIDAD, entonces hablamos y debatimos..."|0|1|1|"1"
"55"|"Disculpen a a @ADELE_ hoy no ha tomado la medicación y... ya ven."|0|1|1|"1"
"56"|"Se necesita el dinero para los de la boina y los de los siete votos."|0|1|0|"1"
"57"|"El Retiro cierra a partir de las 18.00 por rachas de viento y altas temperaturas el día de la inauguración de la Feria del Libro Según el último boletín extraordinario de la Aemet para la capital, se esperan rachas que alcanzarán máximos de 55 km por hora. Bueno, menos mal que en Madrid hacen caso a la AEMET. No como Mazón, que pasó mogollón."|0|0|0|"0"
"58"|"Con el sanchismo el PSOE ha alcanzado un hito: nunca la corrupción había alcanzado al núcleo más puro del poder y nunca las consecuencias habían sido visibles en plazo tan corto. De hecho el deterioro institucional del sanchismo ha frenado hasta un 20 % la renta per cápita de España en cinco años. El Banco de España (dirigido por un ex ministro sanchista) cuantifica en un 3,8% anual lo que mejoraría la productividad del país, si lograra mejorar la calidad de sus instituciones y la eficiencia en la Administración al nivel de Dinamarca."|0|0|0|"1"
"59"|"Los comegambas que predican la justicia social de la Yoli y el progresismo sanchista... todo por la gamba levanta el puño y canta La internacional"|0|1|1|"1"
"60"|"@pispas #217 Cerrar @ MenosLamentoyMasAccion # 182 Eso lo decidirá el juez... Esa misma noche, después de que el fiscal general lo recibiera, se difundió el correo previo en que la defensa reconocía los delitos fiscales. A diferencia de García Ortiz y otros miembros de la cúpula fiscal, Rodríguez no borró sus mensajes tras abrirse una investigación, lo que permitió a la Guardia Civil reconstruir las gestiones frenéticas del fiscal general y atribuirle un papel preeminente en la filtración... Porfavor, os cagan en el plato y coméis con gusto cómo si fuera caviar ¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿ cómo sabes que Rodríguez no borró los mensajes? El juez instructor no ordenó a la UCO revisar su teléfono móvil, ni cuando fue a declarar ni posteriomente."|0|1|0|"1"
"61"|"La mafia es el PSOE y Sánchez el capo di capi"|0|1|1|"1"
"62"|"Lo q tienen q cerrar es TVE y rapidito...."|0|1|0|"0"
"63"|"Espero que los vascos abandonen las competiciones españolas, todas."|1|1|1|"1"
"64"|"@Ficherle #379 Cerrar @ duncan_idaho # 370 del PP de Madrid jamás salió nada bueno , y lo único que no estaba manchado lo defenestraron. No, sólo han sido 30 años de progreso para la región."|0|1|0|"1"
"65"|"@Alejanddro #62 Cerrar Si votas Ayuso no hay plazas ni en universidades públicas ni plazas deformación profesional públicas pero si privadas Rascaros el bolsillo y disfrutad lo votado. Otro que no sabe de lo que habla..."|0|0|0|"0"
"66"|"Todo este fango del PP en realidad es para tapar que son una mafia"|1|1|1|"1"
"67"|"@Nachoruiz #480 Cerrar Un juez que pasa absolutamente de las pruebas que acreditan que el FG no filtró y que acusa sin prueba alguna de que se dio instrucciones desde Moncloa merece la inhabilitación inmediata. De verdad te crees lo que has escrito???"|0|1|1|"1"
"68"|"@Madison #225 Cerrar @ MenosLamentoyMasAccion # 182 ahora resulta que no hubo filtración, venga va, los socialistas cuando estáis desesperados sois la mar de patéticos pero ocurrentes. Hay que ver el equipo de fontaneros de la moncloa. Se están empeñando a fondo últimamente. seguramente la hubo, que lo hiciera el fiscal general es otra cosa muy diferente, las declaraciones y pruebas presentadas hoy , dicen que se ya habían filtrado los datos antes de que el fiscal supuestamente mandara el mail. Por lo tanto, el pacto era de dominio público y no hay revelación de secretos. Los periodistas tenían la información previamente al famoso mail. Lo entiendes o hay explicarte más despacio?"|0|1|0|"1"
"69"|"las mafias tienen como todas ellas, a sus soldaditos, y estos forman parte de esa putrefacta y radioactiva prensa que todo buen regimen autocratico necesita."|1|1|1|"1"
"70"|"@Sociolisto #194 Cerrar Ya no se sabe que es verdad ni que es mentira con la UCO, todos los dias sale un nuevo informe, con ataques directos al PSOE, nada que toque al PP ni Vox, esta identidad esta perdiendo toda credibilidad, si todo lo que ha sacado fuera cierto, el 90% de los militantes del PSOE estarian ya en prision, pero no es el caso, asi que tengo mis dudas de la veracidad y procedencia de la informacion caotica y errada de la UCO, siento decirles que les estan tomando el pelo, Sanchez esta sereno, seguro de si mismo, confiado y trabajando por el futuro de España, le resbala lo que diga la UCO, por algo sera, no creen ustedes? Si todo lo que está descubriendo la UCO es sobre el PSOE será por algo, ¿no cree? La negación es el principio de todo. Cuando llegue a la quinta fase lo verá más claro."|0|1|0|"1"
"71"|"42 años de latrocinio, todos los Andaluces lo sabiamos, aqui no se trabajaba si no conocias a alguien o tenias carnet del partido, en cualquier oposicion si tenias el carnet del partido era un plus adicional que todos sabian. Se tardó 42 años de ruina en que muchos se dieran cuenta que sus beneficios eran la ruina de sus hijos, el PER, los enchufes, miles de millones malgastados, MILES, los ERE son una tonteria con el gasto de esos 42 años. Y aun asi, muchos socialistas de fuera de Andalucia se preguntan porque no gobiernan. Esta noticia para cualquier Andaluz no es ninguna novedad."|0|1|0|"1"
"72"|"No hay pruebas pero que mas da.."|0|1|0|"1"
"73"|"@im21 #72 Cerrar @ N0RL # 8 Meno mal que hay alguien que reconoce el buen trabajo del Partido Popular ... pero ya nos estamos cansando de hacer el trabajo y que luego se lo gasten los psoecialistas en D. Angelos y en cocaína ... El buen trabajo del Partido Popular es conocido en el mundo entero. Mire usted lo bien que gestionaron la Dana, no murió casi nadie."|0|1|0|"1"
"74"|"Pero si acabo de ver esta misma noticia en El País y dice exactamente lo contrario.... lo de este panfleto es ya de chiste, no se os puede tomar en serio."|0|1|1|"1"
"75"|"@Fondeado #28 Cerrar Qué prisa tienen en llevarse a juicio y aplicar el delito fiscal. Es el motivo por el que filtraron y desbarataron el acuerdo alcanzado con la fiscalía al respecto. sería delito fiscal aunque no hubiera ido a juicio."|0|0|0|"0"
"76"|"@Quetevotetxapapote #674 Cerrar Para tapar el gatillazo de Feikjóo ayer en la Pza. de España, el juez PPero Hurtado (que no supo quién era M. Rajoy), sale raudo en su auxilio imputando al FGE. Es muy burdo pero vamos con ello... (pero va a ser que no). gracias a Dios en breve vas a estar ¿tapado¿ en una cuneta!"|0|1|1|"1"
"77"|"Esta gentuza que vaya a donde le corresponde... a limpiar escaleras"|1|1|1|"1"
"78"|"Es temerario, suponiendo que Marruecos decida mañana reconquistar Ceuta y Melilla, quien vendrá en nuestra ayuda?"|0|1|0|"1"
"79"|"Vamos que todo el caso es por si se dedujo unas facturas que no debía deducirse. Tanto jaleo para algo que se sustancia con una multa. Ese es el problema, Maxim Huerta, Wyoming, el PSOE han tenido el mismo problema, se les ha puesto una multa y se terminó. Aquí parece que haya cometido un crimen. De todas las maneras si esto prospera es un palo para la justicia, porque se genera una indefensión total como el gobierno quiera ir a por ti."|0|1|0|"1"
"80"|"A nadie le puede sorprender que Sánchez esté moviendo cielo y tierra para sacar del atolladero a su peón el fiscal general y que no se descubra quién dio la orden de filtrar este asunto."|0|0|0|"1"
"81"|"@Pedro_Balboa #303 Cerrar @ Jorobado # 296 No tienen nada. Tienen conversaciones entre ellos hablando que conocen el contenido de los documentos que luego se filtraron. Pero eso no es delito, el delito es hacer públicos los documentos en sí, tal y como hizo el fiscal. Todo el mundo tenía conocimiento de los videos indecorosos de Pedro.J.Ramírez, y la gente divulgaba conocer el contenido de estos sin tener las pruebas gráficas de los mismos, lo cuál, no es delito en sí. El delito fue cometido por aquellos que lo hicieron público. Pero, ¿cómo hacer entender al que no quiere? si todo el mundo sabe algo , decirlo no es delito .. nada que ver con un vídeo"|0|1|1|"1"
"82"|"@Repartidor #152 Cerrar @ Stopfascismo # 104 ¿Tu gobierno corrupto lo das por bueno? dentro de lo malo que es, es mejor que la oposición de pozo negro que tiene. Qué también es bastante corrupta."|0|1|0|"1"
"83"|"@anbormar #251 Cerrar Los mamporreros al rescate !!! Vergüenza de periodistas, para su profesión !!!! hombre, para mamporreros los de el mundo, que son la hojilla parroquial de la frutona y mintieron durante años con el 11M."|1|1|1|"1"
"84"|"Estáis procesando a la esposa del presidente del gobierno, estáis procesando a su hermano, ahora estáis procesando a su Fiscal General. ¿todavía os atrevéis a decir desde la ultra derecha que no hay una campaña contra el gobierno? ¡Como sigáis así vais a acabar con el derecho socialista a la corrupción!"|0|1|1|"1"
"85"|"Amenazas no, pruebas concluyentes para llevar a toda esta banda de mafiosos a la carcel."|0|1|1|"1"
"86"|"@lukaslukas #465 Cerrar @ Ciudadanno # 433 tenéis miedo de volver a perder, verdad? En realidad ganó el PP aunque curiosamente con los resultados que pronosticó el CIS. El único que no pronosticaba una mayoría mucha más holgada de Feijoo. Para mí no cabe duda que se alteró el voto por correo y que fue por ese motivo por lo que se hicieron generales en Julio. Fecha absurda donde las haya. Pero con mogollón de voto por Correo de por medio."|0|1|0|"1"
"87"|"@IronHorse #70 Cerrar ¿de los más de noventa millones que ha levantado a los españolitos según la UCO y que tiene en paraisos fiscales, ha dicho algo? Una propina comparado con lo que habéis robado los socialistas en los últimos cuarenta años..."|0|1|0|"1"
"88"|"@BELASTEGI #158 Cerrar @ Frantic2 # 145 Lo que no es dificil de entender es que los periodistas conocían el contenido del mail 31 horas antes de que la información llegara al FGE y que la moza del paisano con la colaboración de MAR quiso engañar con medios públicos a la ciudadanía. ¿y qué hacen de repente cuatro periodistas de El País investigando los asuntos privados de un ciudadano? ¿Desde cuando pueden acceder esos señores a un expediente privado? ¿por qué cuentan ahora una versión nueva de la historia? ¿Quién les dio el chivatazo? Aquí hay mucha más tela de la que los socialistas quieren cortar."|0|1|0|"1"
"89"|"@revuelta #371 Cerrar Pero cuanto pagan a esta ADELE por estar todo el día aquí!! La pagarán con dinero público que como no es de nadie! El dinero público es de todos y por tanto todos debemos preservarlo de la malversación."|0|1|1|"1"
"90"|"@ComoStalpatio #15 Cerrar El esfuerzo del partido popular por romper las costuras del Estado desde cada autonomía que presiden es muchísimo más grave que el que hizo otro personaje actualmente fugado. Y la bulla que dispersa EM en cada artículo, sobre lo que sea, en contra del presidente del gobierno, también es para hacérselo mirar. Ya veremos dónde acabará esta estrategia destructora del PP. ¿Romper las costuras del estado el PP? ¿Con la que lleva liada el galgo desde hace siete años? Jajaja El estado lo ha roto definitivamente SZ con sus concesiones a los separatistas. La última: la salida de secretarios e interventores municipales de la administración local española. Le está proporcionando la independencia a los separatistas catalanes y todo por el poder, por nada más está dispuesto a desmembrar España."|0|1|1|"1"
"91"|"Sin pruebas y sin na de na pero como la manifestación fue un fracaso total hay que mover algo."|0|1|0|"0"
"92"|"Piraros de una vez ..."|0|1|0|"1"
"93"|"O sea que antes de las series ponen porquería, y después de las series siguen poniendo porquería, intentándola disfrazar de algo nuevo (vamos como hasta ahora). El salseo de la época, todo con el fin de seguir manteniendo a estos ineptos y pagar favores del cobarde de la Moncloa."|0|1|1|"1"
"94"|"Este hombre siempre dando una de CAl y una de arena"|0|1|1|"1"
"95"|"@Moderado #352 Cerrar @ Pirulas3 # 69 Pues hombre amigo Pirulas, si los periodistas son de El País y es el propio diario en el que trabajan el que dice que han declarado lo contrario de lo que publica El Mundo pues que quieres que te diga.... pues que sigue siendo lo país, que está al servicio de la PSOE desde hace tiempo."|0|1|1|"1"
"96"|"@Fakejo #10 Cerrar Espero que ese juez sea denunciado por precaricador..y espero que sea ya .esto si que son las cloacas de nuestro país...jueces imputando delitos sin pruebas ...es un golpe de estado perseguir al fiscal general del estado.. Golpe de estado es decir que no se puede imputar a quien tú señales. El que comete un delito, palante."|0|1|0|"1"
"97"|"@AndresOD #5 Cerrar Hasta cuando vamos a aguantar los españoles sin salir a la calle para parar está autocracia que nos quieren imponer? Hasta que nos saquen los sindicatos de izquierda a las órdenes del gobi. Es decir, nunca."|0|1|1|"1"
