"";"post";"label"
"190272";"Moby Dick, El cazador de barcos. El negro del Narcissus. Capitán de mar y guerra. La cacería. Mar cruel...Hay donde elegir.";0
"190273";"Los grandes multimedia gringos azuzan el golpe de Estado anti-Trump";0
"190274";"Controles policiales durante 24 horas a pesar de ser una frontera Schengen provocan un goteo diario de y rechazados en la zona fronteriza de Irún-Hendaya.";0
"190275";"no seas clasista inverso. Los ricos inventan mierda y los pobres nos la tragamos. Siempre ha sido así, racista.";0
"190276";"el bloque independentista mantiene la mayoría y deja claro q es más fuerte q el encarcelar y obligar al exilio de su gobierno,prohibir colores,presión mediática de la prensa,presión sobre TV3,y todas las mentiras vertidas sobre";0
"190277";"Ya callate con tu puta aguila color azul pinche tabasqueña fea >:(";1
"190278";"Felicidades a por esta victoria tan vacía y sin utilidad. El Bloque Independentista sigue ganando, besos";0
"190279";"Callate perra, re despierta estoy";1
"190280";"Los llanitos no son Gibraltareños. Son okupas. Los GIBRALTAREÑOS viven en San Roque y son muy leales ESPAÑOLES";0
"190281";"los comunistas cuantos asesinatos cometieron con Franco no te violaban por la calle no tenías moros con navajas atracando no te ibas a trabajar y te okupaban tu piso manteros drogas y asesinos y rumanos sudacas con 150 detenciones";1
"190282";"Dejad de decir que el bloque independentista o el españolista ha ganado. Aquí los que han sacado más votos son los de la derecha neoliberal que nos va exprimir a base de bien. Me baso en realidades y hechos, no es semtimientos. Iría bien que más de uno entendiese esto último.";0
"190283";"ser la oveja negra de la familia hasta que p iglesias te responde un tweet sobre follar";0
"190284";"Estefania Molina: De rodillas ante el Moro ( el traidor Moro culpable de la invasion ) El Islam aplastarà a Cataluña";1
"190285";"Después ¿cómo se limpia el coño?, con la falda. Peazo guarra.";1
"190286";"1MILLON “ARABE”🔥🚀❌";0
"190287";"me hartan ya las pinches viejas estas que l tiran mierda a Irina la puta madre callate malparida que pierdes tu puto tiempo";1
"190288";"Mauro la puta madre no te mereces irte de ninguna manera, lo voy a extrañar muchísimo";0
"190289";"SPORT.es - Insultos en La Rosaleda: ""Reyes, maricón""";0
"190290";"Haz patria y partele la madre a un sudaca.";1
"190291";"Ningún independentista ha cometido ningún delito, que yo sepa.";0
"190292";"Para negro y con mierda así tienen Madrid.";1
"190293";"Nada te pidió tu puta opinión cállate alv. -Yo, cuando me dan una opinión que no pedí.";0
"190294";"Por primera vez ENTIENDO el ODIO de Trump a los Mexicanos. 😥 Ayer o antier, 7 mexicanos intentaron robar dentro de un centro comercial, una joyería. Los atraparon..... Los 7 son : Mexicanos, indocumentados y RATEROS ... 😡😡😡😡 Pagamos “justos por pecadores” Me siento ENOJADA";1
"190295";"Y el mamón se vuelve a París con dos palmos de narices";1
"190296";"Tatuaje perra paja loca";0
"190297";"no te deseaba ningún mal pero necio con los pendejos de . Entonces que te corran a chingar a tu sudaca madre";1
"190298";"LOS ARABES DE AMÉRICA. La FEF necesitará $ 5.200.000 (cinco millones doscientos mil dolares) para el pago del Cuerpo Técnico comandado por Hernán Darío Gómez que llega mañana y será presentado a las 11h00. Los cuatro años de contrato hoy se convierten en un grave albur.";0
"190299";"Debe ser la polla ser impermeable a la ironía, caminar por la puta calle diciendo tonterías, que te las rebatan y te atrevas a discutir la fuente con cuatro pamplinas altisonantes.";0
"190300";"Jajajajjajajajaja maldito HOMOSEXUAL";1
"190301";"Eres un pesado de mierda, un tocapelotas, un subnormal y un asqueroso estúpido. Pero te quiero🙄";0
"190302";"De.la polvera sos loas hijo se puta mereces lo peor enano h de puta fracasado hace 16 q no festejas puto te colgas de esa copita gil come verga";0
"190303";"Mira que me da pereza C's pero sois el claro ejemplo de ''todo lo que no sea lo que yo pienso es fascista''";0
"190304";"Soy un hombre descompuesto cállate perra puta y déjame explicar";1
"190305";"Le dije a una chica que tengo rasgos arabes por la familia de mi papá y está fangirleando a full y no entiendo por qué";0
"190306";"Lo que pasará a partir de mañana es que se seguirá persiguiendo al independentista como criminal, para seguir apartando la atención del criminal corrupto, toros, vino, y Sálvame. Ah! y haciendo adivinanzas de quién podrá ser M. Rajoy";0
"190307";"La prueba irrefutable de que al menos el 80% de la gente es subnormal del culo, es ver lo que se hace 'viral'.";1
"190308";"Tu novia la que tiene likes árabes JAJAJA";0
"190309";"¿Por qué mierda la poligamia es ilegal? Sabía que ni era bien vista, pero, ¿ilegal? — Sí, en los únicos países donde sé qué es legal sólo para el hombre es en algunos países árabes. P...";0
"190310";"Callate de una puta vez gilipollas a ti que cojones te importa lafgate para tu pais y dejanos en paz a la puta calle";0
"190311";"En ía detuvimos a un sujeto perteneciente a la UOCRA tras arrojar basura en la vía pública y darse a la fuga con 94.200 pesos de los que no pudo explicar su procedencia. Circulaba sin papeles reglamentarios. Intentó sobornar a los efectivos con dinero.";0
"190312";"Que non te enganen cando te digan que a democracia son eles, os do pacto do franquismo sen franco, os da mordaza, os que lanzan o oso e din que lle botes a culpa ao can que tamén quere comer. O futuro é dos pobos. Viva a unidade popular, vivan as repúblicas e o internacionalismo.";0
"190313";"¡Cállate maldito! ¡¿Por qué no te pones a promocionar condones ya que es lo único que un hijo de puta como tú sabe…";0
"190314";"Así piensan todos los putos moros de mierda que vienen s este país. Asco";1
"190315";"Aquí va una canción para todos y cada uno de los putos fascistas del PP… Fuck You de Lily Allen";1
"190316";"lo que hay detrás, fachas y na más";1
"190317";"No quiero poner cervezas, ni vinos, ni nada de eso, quiero enseñar puta lengua española, coño ya.";0
"190318";"Cállate puta!!";1
"190319";"Cállate gorda hija de puta, las veces que te vi entrar en la iglesia de Av Santa Fe, no haberte mandado a la concha de tu madre . Chupa pija de represores chaqueños.";1
"190320";"CALLATE !! CHACHALACA. CORRUPTO HIJO DE TU PUTA MADRE .";0
"190321";"Pues sí eres católico lee el Evangelio,somos seguidores de Jesús no de las cruzadas, él se guiaba por el amor. Pero lee y luego tú mismo!!!!";0
"190322";"Histórica victoria de Arrimadas que no impide la mayoría absoluta independentista";0
"190323";"mas muestras de que el que discrepa al dictador molesta... muy democrático el bicho";0
"190324";"Coño eso parece un lobo xdios..donde esta el lazo del pelo ehhhh 😈😈😈😈😈";0
"190325";"Que un fascista xenófobo hable de Shindler tiene sólo una expresión 👉 Oleeee tus ""pelotillas"" 😠😠😠";0
"190326";"me saqué un 9 en el final de biología para vos hija de puta q no me quisiste promocionar por unas centésimas EN TU CARA Y EN TU CANCHA";0
"190327";"Eso es demagogia pura. ¿Jose Luis Rubiales también es ultraderecha? Si los que somos de izquierdas siempre hemos defendido la igualda";0
"190328";"Ninguna mujer es puta y el que lo diga es un rancio 😁";0
"190329";"""Tú explicas el patriarcado como """"simios negratas"""" no vengas a exigir nada a las explicaciones de otras cuando se ha explicado desde hace años";1
"190330";"Claro, pero no es lo mismo que nigger o maricón. Sudaca sí es, por ej.";0
"190331";"Aquí tienes otros datos por si te interesan también; Voto Independentista: 2.042.919 Voto No Independentista: 2.234.023";0
"190332";"Este es un buen tema llamado “Arabe”";0
"190333";"Las expresiones del imbecil son reflejo de lo es el una escoria, recuerden no votar por ellos";0
"190334";"Lo más que me gusta es que tú eres bien puta y te trepas a la cama con retros";1
"190335";"Y lo dice un mongolo que se está forrando en la ""democrática"" Catar, para el parné no tiene problemas democráticos";1
"190336";"Que te calles la puta boca, que tu existencia me repugna, gilipollas";0
"190337";"Dice claramente mi novia es sevillista y es una puta más ... Evidentemente se refiere a las sevillistas como putas";1
"190338";"No te llames Jorge el Cadenas si no eres un gitano, compae.";0
"190339";"Anda a la puta q te pario. Quien te pensas q sos para enseñar a la militancia? Te la das de sobradora encima jaja . En breve terminas como sanguchito Bossio.";0
"190340";"El otro pistolero fascista impune del 77 vía";0
"190341";"Me acabas de llamar terrorista y etarra, ESA COMPARACION ES DE CERDO ,MISERABLE, FASCISTA E HIJODEPUTA...( SALVANDO LA COMPARACION QUE TU MADRE NO TIENE CULPA POR HABER PARIDO SEMEJANTE PERSONAJE.PODEMOS ES ANIMAL FARM.... Ven a Barcelona y lo de terrorista me lo dices a la cara";1
"190342";"Cállate que te hable y te puse que estaban para las pelis puta";1
"190343";"Venga ya guarrilla no te pongas que eres el puto amo,mañana nos vamos de fiesta por ahi guapa";0
"190344";"Aprende el significado de mayoría parlamentaria subnormal";1
"190345";"Deberian ir todos al super y quejarse de la conducta homofoba de aida. A ver si asi hacen algo de una puta vez hostia";0
"190346";"Que hace una mujer fuera de la cama? Turismo Y fuera de la casa? Turismo internacional Y en el supermercado? Turismo comercial";1
"190347";"Messi es el futbolista no nazi al que más odio con diferencia.";0
"190348";"Y por que Miriam y no Mireya? Ana se merecía la salvación por que hizo una actuación de puta madre.";0
"190349";"Ya deseo castigarte de una buena vez perra de mierda, mereces que te rellene una y otra vez de muchos chorros de semen hasta dejarte preñada!";1
"190350";"Yo no te discuto como sacar una muela así que cállate la puta madre";0
"190351";"Siglo 21 y seguís llamando maricon a alguien pa insultarlo";0
"190352";"China | De policía gay escondido a millonario: la historia del creador de la app para citas gays más exitosa";0
"190353";"Madre de dios Hay gente subnormal y luego este.";1
"190354";"Iniciando en álaga la marcha homenaje a las víctimas de la masacre fascista en la carretera Málaga-Almería 80 Aniversario de á";0
"190355";"Ojalá encontrarmelo por la calle y darle un puñetazo en la cara con mi puño de maricón. Que asco de escoria.";0
"190356";"Msdossary CAMPEÓN del Mundo de FIFA 2018. Stefano Pinna no pudo hacer nada ante el árabe. Resultado totalmente merecido.";0
"190357";"Estais muy mal de la cabeza. Sois unos locos y unos fascistas, vuestro odio acabará con vosotros.";0
"190358";"Low Countries, jajajajajaja. Percival, eres subnormal.";0
"190359";"O eres muy pequeño y no sabes lo que escribes o acabas de poner que no a la homosexualidad sabiendo lo que dices... por que si es asi deberias meditar un poco acerca de las libertades de los demás.";0
"190360";"Otro Moro asesino, pon un muro en Ceuta y Melilla y que lo pague Marruecos, basta ya de que entren inmigrantes asesinos! Durcal";1
"190361";"No entiendo como una persona puede ser tan puto subnormal";1
"190362";"Pero ahora me tengo que joder y ver mi futuro más negro que nunca";0
"190363";"Los discursitos de género y d diversidad sexual x parte de liberales os los metéis x el ojete makis";1
"190364";"jajajaaj otro SUBNORMAL que habló antes de tiempo, ¡RETRATADO!";1
"190365";"Cállate la puta boca y madura";0
"190366";"subnormal!!! Jajajajajajaja q te peten ojete!!";0
"190367";"Me ha bloqueado. Natural. Es subnormal perdido.";1
"190368";"Voy a acabar denunciando yo a la Guardia Civil por putos pesados, que os den por culo, iros a por quien lo merezca hijos de puta.";0
"190369";"Las normas de género y la desigualdad son otra de las causas de los matrimonios precoces y la ablación";0
"190370";"Siguen quedando como gilipollas que usan excusas de baratillo para no reconocer que son unos racistas de mierda.";0
"190371";"ya, al poner brave que he puesto brace y en otra el jorobado de norte dame jajajajaja puto corrector....";0
"190372";"Puto subnormal jajajajajajajajajajaja";1
"190373";"Tengo Son rojo, goretzka rojo, matuidi rojo, icardi rojo. Algo hare con eso, el resto a completarlo con 10k jaja.";0
"190374";"¿que artículo se invoca después que el dictador le declara la guerra a los ciudadanos?";0
"190375";"Me surge una duda escuchando a los políticos en Cataluña. ¿Ha ganado el bloque independentista? Siendo los votos mayores en el bloque no independentista 🤔🤔🤔🤔";0
"190376";". : Karla (nombre ficticio) no eligió marcharse de . De hecho, nunca quiso marcharse. Decidieron por ella. Le dieron un ultimátum de 24 horas. “O te marchas o te hacemos picadillo”, le dijeron.";0
"190377";"Los golpistas-indepes-fascistas NUNCA MÁS podrán hablar en nombre de toda . Menudo ZASCA a los separatistas!!";1
"190378";"España, caos total: Un grupo de manteros subsaharianos se enfrenta violentamente a los Mossos en...";1
"190379";"Frank Cuesta llamando ""cabrona, gilipollas e hijaputa"" a una víctima de violencia de género. Espero que el próximo 8M se quede calladito.";0
"190380";"Dices ""las feminazis (por supuesto, usas la palabra feminazi, claro) me han bloqueado, ya no puedo seguir oprimiéndolas"" mientras haces &gt;";0
"190381";"Palurdo, facha y cateto ya lo sabíamos. Se te nota a la legua. Pero que además eres tonto y adivino es nuevo. Jajajajajaja!!!";1
"190382";"bueno he vuelto a rellenar el vaso no seré tan subnormal de hacerlo 2 veces";0
"190383";"Star Wars: crea un personaje masculino complejo de puta madre La gente: *estas tonterías*";0
"190384";"Los eternos indocumentados, los hacelotodo, los vendelotodo, los comelotodo, los primeros en sacar el cuchillo, los tristes más tristes del mundo, mis compatriotas, mis hermanos.";1
"190385";"Callate sirvienta";1
"190386";"Afición del Betis apoyando a Zozulya. Sí, la misma afición que defendió un acto de violencia machista.";0
"190387";"Si no tienes ni puta idea, callate, y si sabes algo, trata de discutirlo con esa persona, llevo desde los 7 años tocando hardware y me toca la moral la gente que se cree mejor que tú y en su vida ha leido una página, cuando yo he estado ayudando en una";0
"190388";": Estos son los 17 países que la UE ha incluido en la 'lista negra' de paraísos fiscales";0
"190389";"dicen que los animales son los más fieles, pero si tú eres una perra, qué pasó?!!!";1
"190390";", eres otra escoria, en la cara tan espantosa que tienes en estos momentos, se aprecia la mierda que llevas por dentro! Y si eres socialistas qué haces en el imperio? Ojalá y no te dejen disfrutar nada! Sucio traidor!";0
"190391";"Está claro que el relato independentista sigue vigente: la realidad no es problema, hasta ahora. Qué cómodo tener siempre razón, porque España es malvadísima. Ay.";0
"190392";"Ve y ganale a Rusia primero españolito digo si es que eres español, alomejor eres un asqueroso sudaca";1
"190393";"callate hijo de puta pendejo, solo duas copas del mundo VERGUENZA DE LATINO AMERICA!";0
"190394";"Perra latina ama las pollas negras por su culito -";0
"190395";"Deja de decir estupideces Sudaca. Ustedes son los primeros en decir que Mexico se venga a CONMEBOL y cuando quiere estar se ponen a llorar.";0
"190396";"Nos han repetido una y diez mil veces que no podemos devolver a los inmigrantes subsaharianos (hayan delinquido o no) porque no hay acuerdos de colaboración con esos países. Pues bien, ahora vais a ver lo rápido que nos devuelven al violador que se escapó en Cantabria.";1
"190397";"No es nuestra culpa que tengais un estadio tercermundista, joder";0
"190398";"El problema sieeeeempre del alumno. No es que los alumnos no quieran aprender, es que no tienes ni puta idea de cómo tratarles y enseñarles.";0
"190399";"Y tu eres una zorra mala que lo sepas jajaja";1
"190400";"Hoy toda esta escoria está callada me gustaría oírlos hablar";0
"190401";"La solución es fácil, muro de hormigón de 3 metros de alto, garitas cerradas para vigilancia y por delante la valla actual con concertinas. No es caro, es cuestión de quererlo hacer.";1
"190402";"Detenido un sudacano por violar a una mujer en Alegría-Dulantzi vía";1
"190403";"De mis punterías. Tu eres la puta mayor";1
"190404";"Represión? Hijo de mil puta! Mereces que te caguen de un piedrazo los negros de mierda y sientas en carne propia!!";0
"190405";"Porque hay alerta roja, subnormal!!!! Este tío es tonto, JODER!";1
"190406";"La asesora de Trump inventa una masacre para justificar su veto a los refugiados Kellyanne Conway, creadora de la …";0
"190407";"Callate, q tu si q t presenta. Pedazo d perra";1
"190408";"David Aguilar: ""La afición siente que esto es un ridículo. Estamos dañando el nombre del club""";0
"190409";"Al Echenique habría que aplastarlo sin remilgos, no es más que un sudaca con pasaporte Español, un desagradecido y un auténtico hijo de puta.";1
"190410";"Si es cierto solo les restrego la polla en la cara a todas las que estaban alli de blanco jajajjajajjajjaa me dievierte eso";1
"190411";"Callate kakatus vos seguro votarias al Tilingo Zorra!!!!!";1
"190412";"A que sí? Por eso dejé de dibujarlo, porque estaba demasiado raro XD pero si tú vieras al Rohan que hice... Parece travelo(?)";1
"190413";"En el fondo me alegro por el subnormal de Emery.";1
"190414";"Quiero agradecerles a todos los trolls espanyolistas esta victoria independentista, porque sin ellos no lo hubieramos conseguido. En parte, es mérito suyo. Muchas Gracias, fachas.";1
"190415";"De verdad q tu eres tremendo MAMÁ HUEVO HIJO E PUTA hipócrita q eres cómplice con fredy Guevara de todo esto apoyando este maldito gobierno cabrón";0
"190416";"Y tu eres mi esposa ve a la cocina zorra >:v";1
"190417";"El presentador que destruyó a una feminazi con argumentos";0
"190418";"Jugamos de polla, no tenemos arriba a nadie que remate una pinche bola y nos vienen diciendo que es culpa de los árbitros y de que no quiere entrar. Mira yo me cago en vuestros putos muertos desgraciaos";0
"190419";"Mientras a estas personas los traten como inmigrantes y no como lo que son, unos agresores de la soberanía, seguirán utilizando esas técnicas y hasta más agresivas. Deben ser puestos presos y tratados como delincuentes.";1
"190420";"Acá en córdoba, tenemos una raza de ladilla de oligarca que paga con tarjeta en cuotas la siglo21 ( que es una privada sudaca y nivel pauperrimo) y chapea con estar en contra de la universidad publica.";0
"190421";"Me estoy comiendo la picada árabe más rica de mi vida";0
"190422";"Yo dejé de votar a la ""izquierda"" en Cataluña, por dos motivos: 1) Por ser unos pijos xenófobos condescendientes con los ""xarnegos"" que detestaban y negaban escondiéndonos e ""inmersionándonos"", y 2) Por no escribir correctamente Cataluña en español. No se lo perdonaré, jamás.";1
"190423";"Eres un homosexual con clase.";0
"190424";"|| Qué miedo a enseñar el careto. Mientras no suban foto polla todo bien.";0
"190425";"me cansada tía cállate ya la puta boca lo que te queda de vida";1
"190426";"Segui comiendo chipa y revocando paredes, negro indocumentado, ojala te rompas todos los cruzados";1
"190427";"después sigo siendo un sudaca pero bueno";0
"190428";"Bueno, mejor que el fascista de Naguib o que Fuad II fué... Aunque en muchas cosas se quedó corto, la verdad.";0
"190429";"Tu si eres idiota de verdad. Eres tú contra todos. Loca !!";1
"190430";"A la vejez viruela se nos ha convertido en independentista ¿por qué? De cantante olvidado a todo un señor diputado.";0
"190431";"Venga va,payasa XD!:Cris,30(recién cumplidos),ojos d gata(apreciación propia),auxiliar d enfermería. Amiga: Ruth(con H),amiga d Cris.To loca";0
"190432";"Vaya joyota el gabacho";0
"190433";"me cago en tu puta madre hipster independentista hijo de puta";1
"190434";"Cuando me decís que estoy negra.... sois unos envidiosos todos 😘😘😘";0
"190435";"Es incierto! Te olvidaste lo de ZORRA! Pero bueno si tú eres feliz así adelante! No voy há gastar mis energias cn alguien cm tú por alguien cm Carolina. Solo daba mi opinión! No me vale la pena. Buenas noches";0
"190436";"Un turista herido tras la agresión de unos manteros en Barcelona (Esto es lo que viene con los inmigrantes subsaharianos varones. Muchos de ellos ex soldados con violaciones y asesinatos a sus espaldas) vía";1
"190437";"La puta madre se lo merecían tanto";0
"190438";"Si , moyano es tarado para hacer negocios jajaj";0
"190439";"Hoy Yolanda nos ha recordado un temazo de esos que escuchábamos con Kako o que a Panchi le encantará por la gran...";0
"190440";"ayer fui a un 18 de disfraces y el que mas guita tiene del grupo se disfrazo de jeque arabe";0
"190441";"Tu te as ido por que no tienes ni puta idea de lo que es un hombre de idea tu eres un chaquetero fascista naci";0
"190442";"Cómo supero Arabe.";0
"190443";"Cristina Pedroche explota: &quot;Si me pongo escote soy una guarra; si voy más tapada, es que no soy.";0
"190444";"Tu eres un hijo de puta XD";0
"190445";"Usar aforismos es de fachas y de gente que disfruta pitando en los atascos. No uséis aforismos.";0
"190446";"Yo estoy en modo arabe y recién es lunes";0
"190447";"No todos tenemos tus mañas zorra";1
"190448";"48% y 2 millones de votos. Again. Y en esta ocasión con una percepción generalizada de que votar independentista no era positivo económicamente.";0
"190449";"Hasta junio han entrado en España un total de 17.950 personas de manera ilegal. Sin embargo, Grecia llegó a alcanzar los 200.000 inmigrantes en solo un mes. Comprueba estos y más datos sobre la inmigración ⬇️";0
"190450";"Cállate ya, puta rata de alcantarilla.";1
"190451";"Los medios, asustados por el auge de la extrema derecha en Europa, lavándole la carita a un nazi. Son para comérselos.";0
"190452";"Tu facha me suena. Próximamente en";1
"190453";"Cállate que es de mi pueblo puta zorra";1
"190454";"y no me digáis que exagero porque el decir siendo mujer x y que te ignoren o si hablas sobre machismo y te llamen feminazi es algo que estoy";0
"190455";"Podeis meteros con madrid, de que somos unos pijos, unos fachas, pero el que diga algo malo de nuestra agua le parto la cara.";1
"190456";"Violentas protestas en Berkeley obligan a cancelar un acto de un editor ultraderechista";0
"190457";"depende, si tiene tatuado ""100 % negra cumbiera"" difícil no mirar con asco (? 😂";1
"190458";"Como queda Arabe de Ecko.";0
"190459";"Yo cuando viajo a otro país tengo q llevar mi pasaporte en regla, pasar todos los controles y obedecer a las autoridades y d ese país. Aqui en España vienen inmigrantes, saltando vallas, agrediendo indocumentados y nuestros políticos van a darle la mano";1
"190460";"Tengo la trama pero echo de menos su argumento y me fallan los colores así pues, lo que sea será negro.";0
"190461";"Hay que ser muy facha, pero que MUY FACHA, para escribir este titular.";0
"190462";"PERO SANDRO DÁSELA A ASENSIO SUBNORMAL.";0
"190463";"¿¡Vas´te a querer camarón seco güero !? El camarón seco en proveniente de nuestras costas es un alimento de gran consumo para los chiapanecos, se prepara con tomate, cebolla y chile picado con un toque de limón, siendo esto una exquisita botana popular.";0
"190464";"Lo más comparable a un nazi en la izquierda es un batasuno. Gentuza mafiosa y cobarde que te mata porque eres normal y corriente";1
"190465";"sois muy diferentes, no os vengáis arriba XD, en la India nos pasaba lo mismo";0
"190466";"No la he visto todavía.";1
"190467";"Ya que én es TT aprovecho para recomendar la visita a nuestra ciudad, y pongo como ejemplo nuestra Catedral, nuestro Castillo de Santa Catalina, nuestros baños árabes, o la iglesia parroquial de San Bartolomé, entre otras muchísimas cosas que ver.";0
"190468";"Aiii mi guarrilla pelirroja que guapa está!!! te echamos de menos!!!";0
"190469";"Pero cállate perra, que lo lo había visto xD";1
"190470";"Es subnormal y súper original";0
"190471";"Esto es para ti indocumentado";0
"190472";"abusaba de él, es una zorra merecía morir.";1
"190473";"El pendejin de Mierdilio ya me tiene hasta la madre. Lárgate ya puto sudaca";1
"190474";"Eso, incompatible con ser moromierda, o musulmono.";1
"190475";"El acoso no entra en la ficción. representás la voz de miles de mujeres que fueron calladas, fuerza";0
"190476";"chupala julandron de mierda";1
"190477";"""Primero te perreas todo, bailas como si no hubiese un mañana y después escuchas bien la letra de """"Arabe"""" de """;0
"190478";"Vos sos un putito Un joto que no hase más que mostrar las nalgas en el siberespascio";1
"190479";"1cosa que no entiendo es porque un tío puede enseñar la polla en redes sociales pero si una tía enseña las tetas,el chichi o lo que sea se ve mal Es así o me equivoco? Porque creo que no,creo que todavía falta cierta libertad o mentalidad abierta mejor dicho";0
"190480";"Que haya maltrato animal no elimina que haya violencia de género hacia ella y encima tú sudes y le eches mierda.";0
"190481";"Han ganado ustedes, fachas, que es motivo para estar triste, pero han llegado a su techo. Desde ahora, sólo caída. Y ni siquiera son mayoría en votos. Se irán por el desagüe de la historia";0
"190482";"Si piensas dar RT a esto, te mereces que te partan la puta boca.";0
"190483";"Y se mantienen en el gobierno: Salvo el PP todos consideran probado el uso de la policía contra adversarios político";0
"190484";"A vueltas con Pizarro, el complejo de Vergüenza Ajena, la Leyenda Negra y la Torta del Casar - La Paseata…";0
"190485";"Como me saca la mente los pibitos que hablan neutro ""emparedado"" tiro un pibito. SANGUCHE TARADO";0
"190486";"Esta es una monja o una mala puta. Pregunto yo. Por lo que se también es una sudaca Argentina de la mierda.";1
"190487";"48,31% de voto independentista. Por favor que no vuelvan a decir que la mayoría de catalanes queremos la independencia ni tomen decisiones en el nombre de todos";0
