lukaslukas|@Pato #6 Cerrar Sanchismo en estado puro, suciedad, mentiras, incompetencia, delitos, chulería y cobardía. El facherio va ya a la desesperada, saben que si pasa un año todas sus trampas y manipulaciones se van a desinflar y se van a quedar en bolas. Pobres
El_futuro_ya_paso|@uno_que_pasaba #419 Cerrar @ ADELE_ # 352 Pues dices mal ¿O Entonces podemos decir que tú eres Adela? No, @ADELE_ es conocido en el mundillo de las rotondas como "La salami".
PedroCorleone|Como esta la mafia!!!
conmundo|Está sra podría sr jefa de radares de la guardia civil...así los distrae y entran más pateras y narcolanchas....
conmundo|Está sra podría ser chófer de una narcolancha para atentar contra la guardia civil Pero no..esa solo una zurda antipueblo y antidenoçracia De hundir lanchas....ess trabajo de motosierra marlaska.
ADELE_|@Sealord #427 Cerrar @ ADELE_ # 224 Otro fontanero de la mafia del PSOE, el Fresita, ahora Adele que le duele cuando se la mete Sánchez, y todavía no ha encontrado a su padre. El Fresita anda buscando quién de los 2.000 socialistas es su padre cuando se tiraron a su madre cuando limpiaba los WC de Ferraz. Sí, la verdad es que tu padre fue un pionero, con aquellas faldas y tacones que se ponía en los 60. La que me da muchísima pena es su mujer, imagino que le saldrían telarañas en el chichi.
El_democrata|@Fakejo #426 Cerrar Vosotros seguís con la matraca ...mientras el número 2 de Interior del PP está en prisión..jajajajaja..brutal "EX" n°2, y por unos hechos realizados con carácter individual, cuando ya no formaba parte del partido.
agitprop|¿Y lo dice desde la sede del PSOE? Ummmm...
uno_que_pasaba|@ADELE_ #415 Cerrar @ AdPS # 384 ¿En serio? Pues qué mal, ya sabe que para mí la opinión de un franquista humillado en las urnas es fundamental. las urnas no humillan ¿Ves como no tienes ni idea de qué es democracia?
Valcibion|@Indomito #1 Cerrar Su testimonio no aclara nada ! Lo del libro es una tapadera . Para mí sigue siendo la fontanera del UNO. Era de esperar. Ayer en la reunión en Ferraz acordaron el relato y la puesta en escena. Son unos trileros mafiosos que nos toman por idiotas. Qué vergüenza y qué escándalo.
DraMCMoreno|Sois todos vosotros una gran, pero gran vergüenza para España. Espero sinceramente que tengáis vuestro merecido.
retama18|¿No decía que se iba a tener que ir a Taiwán ? Pues que se largue.
El_futuro_ya_paso|@ADELE_ #417 Cerrar @ Voxamnistiayreferendumpa2anos # 376 A mí me quedan palomitas de cuando los franquistas de Vox perdieron 19 escaños en 2023. Quiere? Todavía crujen. Lo que no le queda son salamis ¿verdad?
ADELE_|@skovde1 #412 Cerrar El narcisismo y ganas de protagonismo es algo en común en los socialistas, tenemos al número uno, tenemos a la fontanera y en los chats de El Mundo tenemos a Adele, una señora que como no la soportan en ningún sitio, se viene aquí para mencionar a Mazón hasta el aburrimiento. Yo solo digo, por favor ignórenla. Claro, que me ignoren como haces tú, no? Cuando digo que los de Vox son descerebrados por algo lo digo. Así les va.
XXXALMXXX|@Fakejo #418 Cerrar El titular es noticia y opinión?? Es vergonzoso el nivel al que ha llegado este diario...le quedaba poca credibilidad ...ahora ya da lastima ver en qué se ha convertido.. , entonces, que? Miramos para otro lado, metemos la cabeza bajo tierra como los avestruces. Este pais es un circo de políticos, de tres al cuarto y ahora le ha tocado a éstos. La imagen es lamentable y por supuesto que hay que denunciarlo, como en su día se denunció la Gurtel, los ERE y todos las cloacas, fontanería y electricidad que haya. Algunos no se quitan la bufanda de la ideología ni para ir al cuarto de baño. Estas cosas se denucian y deberían denuciarse por los de la oposición, como por los hooligans. Nada de justificar, culpar a otros, ni tapar con paguitas y ayudas.
ADELE_|Disculpen a @El_futuro_ya_paso #411 Cerrar ""No lo he llevado a cabo en nombre ni en representación de nadie"" Entonces ¿porqué ayer entregaste un pen drive con la información obtenida para tu libro al PSOE? , pronto morirá y está delirando.
mercurio1|@Fakejo #418 Cerrar El titular es noticia y opinión?? Es vergonzoso el nivel al que ha llegado este diario...le quedaba poca credibilidad ...ahora ya da lastima ver en qué se ha convertido.. así es,un panfleto de la derecha
ntl|@Fakejo #426 Cerrar Vosotros seguís con la matraca ...mientras el número 2 de Interior del PP está en prisión..jajajajaja..brutal ¿arrestado por la policía que está al servicio del pp?
MDEinSPAIN|No entiendo cómo los medios dan cobertura a esta esbirro de Sánchez q sabemos q sólo va a ir a contar trolas. Que la lleven ante la justicia y se investiguen sus fechorías y también q se lleve a Sánchez ante la justicia y se investiguen sus fechorías. Esto q está pasando con el sanchismo es una denigración nauseabunda de la política y la democracia. Este delincuente de Sánchez tiene q irse ya y dejar de hacer daño a nuestro país, y por supuesto, hay q llevarle a los tribunales pq cuando ha montado este esperpento es pq seguramente quiere ocultar muchas cosas y mucho dinero .
ADELE_|@El_futuro_ya_paso #411 Cerrar ""No lo he llevado a cabo en nombre ni en representación de nadie"" Entonces ¿porqué ayer entregaste un pen drive con la información obtenida para tu libro al PSOE? "Porqué" no, "Por qué". Es usted analfabeto, El futuro. Y no me ponga de excusa que es andaluz, allá abajo hay gente muy culta, como Los Morancos.
conmundo|Ya lo dijo Milei..... Al zurdo nomle.podes.dar doss centímetros de poder porque te garca( estafa)
AdPS|@ADELE_ #415 Cerrar @ AdPS # 384 ¿En serio? Pues qué mal, ya sabe que para mí la opinión de un franquista humillado en las urnas es fundamental. ¿Y quién se supone que señalas de franquista, a mi? jajajajajajajajaja En esta casi casi recuperas tu magia
Ciudadanno|Todos los votos por correo, por primera vez, fueron enviados a la "sala de la democracia" en Correos-Vallecas, donde pasaron entre 3 y 30 días en unas cajas no supervisadas por nadie pero bajo control del presidente de Correos y ex-jefe de gabinete de Sánchez, que fue el que introdujo ese paso en el proceso. Todo el voto por correo de la comunidad de Madrid ¿1 millón de votos?, en una sala custodiada por socialistas durante un mes... ahí lo dejo.
ELISEO23|Está sinvergüenza no desaprovecha ocasión para mentir. Había anunciado que no admitiría preguntas y ahora, para hacerse la víctima, dice que tenía previsto permitir las preguntas, echando la culpa a Aldama. Efectivamente hay otras personas cómo Sánchez y seguramente peores.
ADELE_|@El_futuro_ya_paso #368 Cerrar Disculpen a @ ADELE_ # 336, hoy no ha tomado la medicación y... ya ven. Disculpen pero no olviden pulsar el botón de denunciar. Y ya no pide usted el voto para Vox? Lo necesitan, Abascal organizó una mani la semana pasada y solo fueron 300 franquistas. Qué risa.
skovde1|Lo que sl socialismo tiene en común es el narcisismo, tenemos al número uno, ahora a la fontanera, y en todos los chats tenemos a Adele, una señora que pasa todo el día en los chats con el único afán de sentirse protagonista, lo triste es que está obsesionada con Mazón.
El_futuro_ya_paso|@AdPS #384 Cerrar @ ADELE_ # 324 No, en serio, hoy no estás fina, ni una gracia buena te has marcao. Disculpe a @AdPS no toma la medicación y ha perdido mucho. No tiene buen pronóstico, la familia ya ha sido avisada para que se preparen para lo peor y ya han comprado el champán.
ADELE_|@Cento #373 Cerrar @ ADELE_ # 341 Por gracia de la extrema izquierda comunista, terrorista y de vagos sindicalistas la renta per cápita disponible es menor. Ya tenemos bastante con un begoño enamorado. No se ponga así. ¿Quiere una copita de cava catalán para celebrar la humillante derrota de Vox en 2023? Está MUY fría, le aviso.
Sealord|@ADELE_ #224 Cerrar @ Sealord # 189 @ Sealord # 186 Sealord, la prueba fehaciente de que muchos votantes de Vox son hijos de homosexuals. Por qué serán tan homófobos? Es raro. Otro fontanero de la mafia del PSOE, el Fresita, ahora Adele que le duele cuando se la mete Sánchez, y todavía no ha encontrado a su padre. El Fresita anda buscando quién de los 2.000 socialistas es su padre cuando se tiraron a su madre cuando limpiaba los WC de Ferraz.
Fakejo|Vosotros seguís con la matraca ...mientras el número 2 de Interior del PP está en prisión..jajajajaja..brutal
skovde1|Esto es ya un sálvese quien pueda, vayan comprado las palomitas que se va a poner muy divertido.
uno_que_pasaba|@mercurio1 #358 Cerrar Esto es normal en los partidos;si hay rotura de cañerías se llama a un fontanero,acaso el PP no tiene fontaneros?,sin duda que si,y algunos con condenas judiciales pues si los del PP tienen condenas judiciales tal vez ahora toque a éstos pasar por el banquillo ...
amgw600cl|Juro y prometo! Que antes de sacarla!La meto!
agitprop|Va a resultar que la contratación de programas de telebasura por la RTVE socialista tiene más sentido que el que pensábamos. Todo empieza a cuadrar.
uno_que_pasaba|@nedense #391 Cerrar Aparece Aldama defendiendo al PP,la policía golpista queda bien en Madrid y telemadrid con sus fanáticos pero en el norte crea una gran división y la gente no cree en España porque no existe,es el Reino de Madrid,la prensa Madrileña,el PP que es el partido de Ayuso y de Madrid, en el norte repito no tragamos y este este país gracias a Madrid y sus medios afines y la policía golpista no tiene sentido en mi tierra y cada vez más la distancia es sideral entre Madrid y la idea nuestra entre una convivencia que hoy por hoy es imposible,así que a tomar vuestras cañas madrileñas,ser los más chulos que los demás somos aburridos y muertos de hambre,que disfrute Ayuso de su fruta y su ático que aquí tenemos desde hace años,en todo el norte,una idea clara de los madrileños,en mi tierra se llaman fodechinchos y son los extranjeros menos queridos,pues seguir con vuestros medios de comunicación que habéis matado a España,ya no existe,es el Reino de Madrid y la princesa Ayuso ¿Quieres dejar de mentir?
uno_que_pasaba|@nedense #395 Cerrar @ PAUS # 365 Vosotros madrileños pensáis que sois los dueños de España??Tremendo palo que vais a llevar,toda vuestra prensa y policía golpista no van a llegar para apagar las calles del norte,se os acabó,que haya elecciones ya y gobierne la derecha porque hay muchos países españoles que el apoyo a VOX y al PP juntos no llega al 20%,así que yo y muchos vamos para esos lugares y romper el reino de Madrid,se acabó trabajar para los madrileños,iros preparando que vais a ver lo q es calentar la calle ¿Muchos países Españoles? BULAZO, sólo hay una España, cuñao, si ya me vienes con ésas no merece la pena analizar el resto de tonterías.
uno_que_pasaba|@ADELE_ #352 Cerrar @ albertgirona # 322 Será "Alberto Gerona", digo yo. Indepes no. Pues dices mal ¿O Entonces podemos decir que tú eres Adela?
Fakejo|El titular es noticia y opinión?? Es vergonzoso el nivel al que ha llegado este diario...le quedaba poca credibilidad ...ahora ya da lastima ver en qué se ha convertido..
ADELE_|@Voxamnistiayreferendumpa2anos #376 Cerrar Puffff ....voy a hacer palomitas ....por lo de Aldama y Leire....!!! A mí me quedan palomitas de cuando los franquistas de Vox perdieron 19 escaños en 2023. Quiere? Todavía crujen.
uno_que_pasaba|@Utopilitologo #357 Cerrar @ maqqabi # 335 Te lo has currado, ¿Con ilustraciones de Billy el niño y M.Rajoy? NO.
ADELE_|@AdPS #384 Cerrar @ ADELE_ # 324 No, en serio, hoy no estás fina, ni una gracia buena te has marcao. ¿En serio? Pues qué mal, ya sabe que para mí la opinión de un franquista humillado en las urnas es fundamental.
vamosaopinar|Supongo que lo de sin preguntas, se sepa de antemano ¿no? Porque su es así,se tenían que haber ido TODOS los medios de comunicación; esto es tan vergonzoso como cuando lo hizo Rajoy o cuando lo hace Sánchez. No hay periodistas de verdad que pena.
ADELE_|@Sivispotes #403 Cerrar O sea, que al periodista le ha quedado acreditado que no es "ni fontanería, ni cobarde". Su deber es informar, no dar pábulo a teje-manejes políticos. Ya para colmo se filtran los comentarios en un sentido. Vamos, todo muy ejemplar. Se salvan las investigaciones que hace el grupo de Esteban y basta. Ya, también la labor de El Mundo es informar. Pero cada vez que baja el paro, esconde la noticia. Y sus lectores borreguitos no se enteran.
skovde1|El narcisismo y ganas de protagonismo es algo en común en los socialistas, tenemos al número uno, tenemos a la fontanera y en los chats de El Mundo tenemos a Adele, una señora que como no la soportan en ningún sitio, se viene aquí para mencionar a Mazón hasta el aburrimiento. Yo solo digo, por favor ignórenla.
El_futuro_ya_paso|""No lo he llevado a cabo en nombre ni en representación de nadie"" Entonces ¿porqué ayer entregaste un pen drive con la información obtenida para tu libro al PSOE?
Pratchett|Que alguien en los arrabales del PSOE hable de "guerra sucia" es enternecedor..
Pratchett|@HomerJaySimpson #402 Cerrar El PP quiere gobernar para poner el mes de espera para poder cobrar un subsidio, para subir la edad de jubilación a loa 70 años, privatizar la educación y la sanidad, etc. Dicho lo cual, seguiremos votando a Sánchez eternamente. Cuanto ha subido la edad de jubilación desde que Sánchez está en Moncloa (que no gobernando)? Vivienda y sanidad solo son competencia estatal durante la campaña electoral, después miau!
WILLY_NILLY|@ADELE_ #343 Cerrar @ WILLY_NILLY # 313 Sí, los dulces muertitos de Mazón, ya lo sé, mi vida. Espera que te limpio la babita que te cuelga, hala ya está, mira qué guapa. Es Pilly Milly, señores. ... Si sí, mucho Mazón -Mazón, pero sigues sin hacerme los deberes, muy mal Adelita...Mira, limpiame mejor la baba de abajo, la que me sale del colgajo, anda...Y aprende inglés, para enterarte de una vez, qué significa willy-nilly , que se veo garrulilla...
alataquel|@ADELE_336. Eso, eso, ¿Dónde anda Narciso?. Se tiene que marchar fuera de la península paraa inaguar un hospital en Melilla, que estaba propuesto por zapatero desde hace 18 años. Hospital que por cierto, en el que aún no funciona urgencias, quirófanos, ni tiene pacientes, etc, etc. ¿El problema?, pues que Narciso tenía que hacerse la foto. ¡¡¡Dioooooos qué guapo es Narciso!!!. ¿Sabes algo de la "fontanera?. Tienes que comentarnos que hacia la Directora de Filatelia por Correos. Elecciones en pleno verano, muchísima gente vacaciones, mucho voto por correo, y la "fontanera" por allí. ¡Vaya, vaya!. Mic - mic.
Utopilitologo|@tienesmazon #348 Cerrar @ Utopilitologo # 287 Uto, ¿alguna vez en la vida vas a decir algo coherente?, que no digo que no sea una tontería, pero al menos una tontería coherente, y no lo absurdo y ridículo que eres, que te lo está diciendo todo el foro, el ser más ridículo del foro, jaja, hasta la Paca puede que diga, pero qué hace este tío aquí, jajajaja. Entonces bufon pelón, aceptas que tu calva, ilustre la portada del libro de Leire. " Habitantes de cloacas" Buena decisión. Martínez "El chancla".
Ras|Pedro Sánchez Pérez Castejon Jefe de la organización criminal y mafiosa PSOE
LaManifestaciondelosgolpistas|¿Qué hacía el mafioso Aldama allí?¿Lo envió el pp-vox y el resto de la manada del lodo para evitar que esta señora hablará?¿Qué hacía ese LADRON con mayúsculas,quien estafó más de 500 millones ,protegido por jueces corruptos y por la manada mediática del fango?¿Qué hacía Aldama allí?
Sivispotes|O sea, que al periodista le ha quedado acreditado que no es "ni fontanería, ni cobarde". Su deber es informar, no dar pábulo a teje-manejes políticos. Ya para colmo se filtran los comentarios en un sentido. Vamos, todo muy ejemplar. Se salvan las investigaciones que hace el grupo de Esteban y basta.
HomerJaySimpson|El PP quiere gobernar para poner el mes de espera para poder cobrar un subsidio, para subir la edad de jubilación a loa 70 años, privatizar la educación y la sanidad, etc. Dicho lo cual, seguiremos votando a Sánchez eternamente.
AdPS|@nedense #395 Cerrar @ PAUS # 365 Vosotros madrileños pensáis que sois los dueños de España??Tremendo palo que vais a llevar,toda vuestra prensa y policía golpista no van a llegar para apagar las calles del norte,se os acabó,que haya elecciones ya y gobierne la derecha porque hay muchos países españoles que el apoyo a VOX y al PP juntos no llega al 20%,así que yo y muchos vamos para esos lugares y romper el reino de Madrid,se acabó trabajar para los madrileños,iros preparando que vais a ver lo q es calentar la calle ¿Esto es un intento de recuperar votantes gallegos? ¿Está por ahí tu papá para decirle que te ponga eso del control parental? ... ¿Cuántos países españoles hay ahora? Joer, con los cambios en educación que no avisan que ya nos han cambiado el mapa.
marioelfuncionario|@nedense #391 Cerrar Aparece Aldama defendiendo al PP,la policía golpista queda bien en Madrid y telemadrid con sus fanáticos pero en el norte crea una gran división y la gente no cree en España porque no existe,es el Reino de Madrid,la prensa Madrileña,el PP que es el partido de Ayuso y de Madrid, en el norte repito no tragamos y este este país gracias a Madrid y sus medios afines y la policía golpista no tiene sentido en mi tierra y cada vez más la distancia es sideral entre Madrid y la idea nuestra entre una convivencia que hoy por hoy es imposible,así que a tomar vuestras cañas madrileñas,ser los más chulos que los demás somos aburridos y muertos de hambre,que disfrute Ayuso de su fruta y su ático que aquí tenemos desde hace años,en todo el norte,una idea clara de los madrileños,en mi tierra se llaman fodechinchos y son los extranjeros menos queridos,pues seguir con vuestros medios de comunicación que habéis matado a España,ya no existe,es el Reino de Madrid y la princesa Ayuso : la pastillaaaaa... !!
Torlick|Cero votos, señores, cero votos, a todos los que están mintiendo...............Esto excluye a tres partidos
Pepesap2|¡Cuanta miseria de Gobierno!
nedense|Un saludo a los fodechinches
lumiga7|La indecencia socialista no tiene nombre, jamas reconocera nada, es un partido sucio, arrogante, sin dignidad, esta tipeja, simple y llanamente obedecia ordenes del numero "1", es totalmetne inegable. Aun es el dia que estamos esperando todos los Españoles de que denuncien todo esta persecuencion que llorandan y lloran diciendo que padecen, no señores socialistas, simplemene, los españoles no les queremos, al menos la inmensa mayoria, simempre quedan los ingnorantes que se dejan engañar, porque esto señores no va de izquierdas ni de derechas, va de DIGNIDAD Y DECENCIA POLITICA, lo que la izquierda no conoce. SOCIALISMO INDECENCIA Y CORRUPCIÓN, ESPERTOS EN EMBADURNAR TODO LO QUE TOCAN Y DICEN.
nedense|@PAUS #365 Cerrar Joe que lío se ha montado no? Tanto calentar la declaración de esta señora y no ha dicho nada al final! Vaya esperpento todo. Sánchez. Se te ha ido mucho la olla. Convoca elecciones ya. Vosotros madrileños pensáis que sois los dueños de España??Tremendo palo que vais a llevar,toda vuestra prensa y policía golpista no van a llegar para apagar las calles del norte,se os acabó,que haya elecciones ya y gobierne la derecha porque hay muchos países españoles que el apoyo a VOX y al PP juntos no llega al 20%,así que yo y muchos vamos para esos lugares y romper el reino de Madrid,se acabó trabajar para los madrileños,iros preparando que vais a ver lo q es calentar la calle
CHILLONERO64|@JIMA #377 Cerrar @ mercurio1 # 358 Pues habrá que acabar con esa normalidad. No? Ustedes tragan con todo lo que hacen los suyos. @JIMA #377 Cerrar @ mercurio1 # 358 Pues habrá que acabar con esa normalidad. No? Ustedes tragan con todo lo que hacen los suyos. >Los periodistas de El Mundo ya tenían la noticia editada antes de la rueda de prensa. Son así de profesionales.
