Pep3z|Así que han mentido¿ que novedad en la prensa de izquierdas , y encima hablan de bulos.
uno_que_pasaba|@Moderado #380 Cerrar @ uno_que_pasaba # 360 Perdona, pero tu razón amiento parece el de un niño de 5 años. Viendo el nivel que tenéis algunos no me extraña que os comáis con patatas todo lo que dice este diario y otros. ¿Sabes por qué a TVE, el país, la ser, el plural, eldiario se les llama equipo de opinión sincronizada? Venga, dale una vuelta a ver si lo entiendes. Les he visto lanzar los argumentos más ridículos para defender al gobierno. Ya no informan, justifican todo lo que hace el gobierno y critican todo lo que hace la oposición ¿Recuerdas el bulo de los dos DNI del juez Peinado? Pues es solo un ejemplo.
uno_que_pasaba|@Moderado #380 Cerrar @ uno_que_pasaba # 360 Perdona, pero tu razón amiento parece el de un niño de 5 años. Viendo el nivel que tenéis algunos no me extraña que os comáis con patatas todo lo que dice este diario y otros. no como tú que pareces super adulto, claaaaaaro.
efmg2|@Casilda #371 Cerrar O no entiendo lo que escribe este diario o mienten aparatosamente , los periodistas han declarado que ellos tenían la información 31 horas antes de publicarse y no lo contrario que dice este panfleto . Ellos dicen que tenían la información. ....Tú imaginación es la que dice que fue por un correo electrónico.
Moderado|@uno_que_pasaba #360 Cerrar @ Moderado # 352 pues que sigue siendo lo país, que está al servicio de la PSOE desde hace tiempo. Perdona, pero tu razón amiento parece el de un niño de 5 años. Viendo el nivel que tenéis algunos no me extraña que os comáis con patatas todo lo que dice este diario y otros.
Casilda|@Pedro_Balboa #323 Cerrar @ _Placebo72 # 318 Yo no, pero, al parecer, el juez sí. Puesto que García Ortiz es el único del que se conoce que filtró los documentos originales (no sólo el chascarrillo). es culpable, y será condenado acorde a ello. Aunque todos sabemos que esos documentos los filtro con anterioridad el UNO, pero las pruebas de ello fueron destruidas y, afortunadamente, todavía vivimos en un país donde no se puede juzgar sin pruebas... no invente.
Casilda|@Luis76 #332 Cerrar El subdirector de el país dijo en un acta notarial lo que luego han desmentido en el supremo... Vayan pasando no te creas nada de este diario .
Casilda|@JohnMcCLANE_ #334 Cerrar @ andoni1988 # 324 Es que lo que es delito o no, no lo decidimos cada uno según nos parece. Hay algo por ahí que lo llaman Ley, creo, que lo delimita. Me parece que cuando alguien filtra un documento confidencial la ley dice que es delito, aunque lo que dijese ese documento ya hubiera llegado en el boca-oreja a la isla de Sentinel le hace falta alguna clase de primero de derecho .
BELASTEGI|@uno_que_pasaba #363 Cerrar @ BELASTEGI # 346 ¿Pero filtrados por el FG para hacer daño a un rival político? Estoy deseando que al final declaren inocente al FG y que poco después le hagan lo mismo a un zurdi de los que idolatráis. Cuando eso ocurra no olvidéis quién abrió esa puerta. No ha terminado el procedimiento y sabe que fueron filtrados por el FG ¿Ha tenido acceso al mismo? ¿Quién le ha filtrado la resolución?
traje|De El Pais nada me extraña, no hay que comprar ni confiar en ese periodico de extrema izqierda, y sanchista.
_Placebo72|@uno_que_pasaba #361 Cerrar @ _Placebo72 # 358 Creo que Bárcenas dijo que tenía toda la información así que no sé si es tan así... No creo: "Era muy relevante», ha manifestado (Bárcenas )sobre todo lo que había en los ordenadores, a preguntas de la Fiscalía, para explicar que eran «soportes documentales» sobre los pagos en negro que anotó en su etapa como gerente y tesorero en el PP. «Eran hojas Excel, datos de mis cuentas corrientes, presupuestos de campañas electorales, notas que daban continuidad a los papales¿"
SJLI|El País defendiendo a su amo. Menuda novedad. El grupo PRISA es un departamento del PSOE. Hay que tener eso en cuenta siempre que se lea o escuche algo de ese grupo mediático.
ADELE_|@JohnMcCLANE_ #338 Cerrar @ ADELE_ # 301 sí, Peggy, sí. Lo que tú gruñas. Gracias. Quería preguntarte dónde se puede conseguir tu ensayo "Franco, me pones supercaliente". Está en Amazon?
Casilda|O no entiendo lo que escribe este diario o mienten aparatosamente , los periodistas han declarado que ellos tenían la información 31 horas antes de publicarse y no lo contrario que dice este panfleto .
JoseJuanMartinez|Lo primero que tienen que hacer esos 2 periodistas es empezar a escribir bien. Un niño de 7 años redacta mejor que los 2 periodistas juntos de El País.
Jacinto|@ADELE_ #301 Cerrar @ JohnMcCLANE_ # 292 Y han aparecido numerosas pruebas de que el fiscal filtró los correos, como por ejemplo "Churruca" y "Triskis". Quizás las ha canjeado alguna afiliada periodista del PSOE por un indulto o blanqueamiento fiscal. Pero sólo a modo periodístico.
Pedro_Balboa|Pasará Sánchez y seguiré siendo de izquierdas, pero a muchos odiadores que se apuntan al carro, ya se les habrá caído la careta. Estarán en mi barco, como las ratas que se esconden en las bodegas... pero yo sé que no son de izquierdas. Votar a Sánchez es, simplemente, no tener dignidad
angelcaido|Las FUENTES DE UN PERIODISTA SON SECRETAS . EXCEPTO PARA UN JUEZ SI ASÍ LO CONSIDERA...
angelcaido|EL PAÍS... Todo dicho.
sin_duda|De quién depende El País? Pues eso....
Diogenillocarbonizao|Lo peor de todo esto es el papelón de la abogacía del estado para defender a alguien investigado por inflifigir gravísimos daños al Estado instruyendo a testigos para que presenten una ridícula acta notarial con el fin de tender una torpe trampa al instructor y poder agarrarse a algo para solicitar la nulidad. El juez, como era de esperar, no ha caído en la añagaza y ha consentido la declaración de los paniaguados, vergüenza de la profesión periodística.
uno_que_pasaba|@BELASTEGI #346 Cerrar @ Madison # 224 ¿Los periodistas no acostumbran investigar asuntos públicos y privados? ¿No acceden a expedientes? ¿No se publican en los medios de comunicación filtraciones de causas judiciales, fiscales,etc? ¿No reciben chivatazos, no tienen confidentes...? acaso ¿Lo que leemos son remidos de prensa? ¿Pero filtrados por el FG para hacer daño a un rival político? Estoy deseando que al final declaren inocente al FG y que poco después le hagan lo mismo a un zurdi de los que idolatráis. Cuando eso ocurra no olvidéis quién abrió esa puerta.
uno_que_pasaba|@Moderado #355 Cerrar @ tienesrazon # 306 Claro que si amigo.Y el Mundo, El Confidencial, ABC, La Razón, OK Diario etc etc etc son verdaderos ejemplos de imparcialidad. Lo que hay que leer... más que lo país, el mal llamado el plural o eldiario desde luego que sí.
uno_que_pasaba|@_Placebo72 #358 Cerrar @ WILLY_NILLY # 356 Raro es pero, de momento, eso no demuestra nada, Sr WILLY_NILLY. Si fuera por eso mismo, se hubieran llevado por delante al PP por la destrucción a martillazos de los ordenadores de Bárcenas, no cree? Creo que Bárcenas dijo que tenía toda la información así que no sé si es tan así...
uno_que_pasaba|@Moderado #352 Cerrar @ Pirulas3 # 69 Pues hombre amigo Pirulas, si los periodistas son de El País y es el propio diario en el que trabajan el que dice que han declarado lo contrario de lo que publica El Mundo pues que quieres que te diga.... pues que sigue siendo lo país, que está al servicio de la PSOE desde hace tiempo.
Jjsusovick|Mañana va Silvia Inchaurrondo a testificar ante el juez que ella tuvo el correo antes que el FGE y antes que los amigos del país. Total es por echar una mano al corrupto del FGE, perdón FG DE SÁNCHEZ (el mentiroso).
_Placebo72|@WILLY_NILLY #356 Cerrar @ _Placebo72 # 348 Con versión en primicia y adulterada de MAR para éste periódico y todo lo demás, a mí, lo que sigue sin cuadrarme, es EL BORRADO del móvil del Fiscal General...Para qué borra nada , si el " no ha hecho nada"...Me lo explicará usted, Sr Placebo?... Raro es pero, de momento, eso no demuestra nada, Sr WILLY_NILLY. Si fuera por eso mismo, se hubieran llevado por delante al PP por la destrucción a martillazos de los ordenadores de Bárcenas, no cree?
Pedro_Balboa|@Moderado #354 Cerrar @ Pedro_Balboa # 351 Y por lo que se te lee tu eres un ser de luz, ponderado y empatico, vamos lo que se dice una eminencia y ejemplo a seguir. No creo, pero al menos no soy un ser que me desprecio en mi odio al resto
WILLY_NILLY|@_Placebo72 #348 Cerrar Los diestros se olvidan, extrañamente, que el primero que público una versión manipulada del famoso correo fue este medio y por orden directa del M.A.R. , entonces,qué revelación iba a haber cuándo los periodistas sabían muchas horas antes el contenido del famoso documento y el sommelier de M.A.R. ya haba filtrado a la prensa una versión adulterada del mismo? Con versión en primicia y adulterada de MAR para éste periódico y todo lo demás, a mí, lo que sigue sin cuadrarme, es EL BORRADO del móvil del Fiscal General...Para qué borra nada , si el " no ha hecho nada"...Me lo explicará usted, Sr Placebo?...
Moderado|@tienesrazon #306 Cerrar @ umbral2 # 271 Pero muchos muchos años. Los más jóvenes no lo han vivido, pero lo País ya defendió la corrupción de Filesa, Roldán, BOE, etc etc con tanto ahínco como los GAL. Es un periódico de partido, no de ciudadanos, como UGT es sindicato de partido y no de trabajadores. Claro que si amigo.Y el Mundo, El Confidencial, ABC, La Razón, OK Diario etc etc etc son verdaderos ejemplos de imparcialidad. Lo que hay que leer...
Moderado|@Pedro_Balboa #351 Cerrar Por lo que se lee, los votantes de izquierdas son personas necias, cegadas, mezquinas Y por lo que se te lee tu eres un ser de luz, ponderado y empatico, vamos lo que se dice una eminencia y ejemplo a seguir.
Sergi1900|El abogado del novio es también del psoe?porque dijo lo mismo
Moderado|@Pirulas3 #69 Cerrar @ Moderado # 55 ¿Y por qué no puede ser al reves? Pues hombre amigo Pirulas, si los periodistas son de El País y es el propio diario en el que trabajan el que dice que han declarado lo contrario de lo que publica El Mundo pues que quieres que te diga....
Pedro_Balboa|Por lo que se lee, los votantes de izquierdas son personas necias, cegadas, mezquinas
ElVentorro|@yomimeconmigo #317 Cerrar Lobato fue antes de que saliera todo para dejar constancia por acta notarial de lo que le había dicho la número 2 de Bolaños. Estos 4 periodistas han ido a hacer un acta notarial que no sirve de nada, porque lo que son testigos de la defensa y eso del notario no sirve de nada Fíjate si sirve que el juez Hurtado despues de ningunearlos se ha visto obligado a llámales a declarar .
WILLY_NILLY|@ADELE_ #168 Cerrar @ WILLY_NILLY # 155 Y además hoy El Mundo ha mentido bonito. Da igual lo que diga el resto de la prensa, yo El Mundo. A mi con tal de leer que el número Uno va palante, me da igual el periódico que sea...
_Placebo72|Los diestros se olvidan, extrañamente, que el primero que público una versión manipulada del famoso correo fue este medio y por orden directa del M.A.R. , entonces,qué revelación iba a haber cuándo los periodistas sabían muchas horas antes el contenido del famoso documento y el sommelier de M.A.R. ya haba filtrado a la prensa una versión adulterada del mismo?
ElVentorro|@MenosLamentoyMasAccion #343 Cerrar @ JohnMcCLANE_ # 334 efectivamente el documento lo filtra la fiscalía de la Audiencia de Madrid entre otros a periodistas del diario el país.Es ahí cuando deja de ser secreto. Esa señora que en declaraciones ante el TS se hartó de lanzar insinuaciones contra el FG
BELASTEGI|@Madison #224 Cerrar @ BELASTEGI # 158 ¿y qué hacen de repente cuatro periodistas de El País investigando los asuntos privados de un ciudadano? ¿Desde cuando pueden acceder esos señores a un expediente privado? ¿por qué cuentan ahora una versión nueva de la historia? ¿Quién les dio el chivatazo? Aquí hay mucha más tela de la que los socialistas quieren cortar. ¿Los periodistas no acostumbran investigar asuntos públicos y privados? ¿No acceden a expedientes? ¿No se publican en los medios de comunicación filtraciones de causas judiciales, fiscales,etc? ¿No reciben chivatazos, no tienen confidentes...? acaso ¿Lo que leemos son remidos de prensa?
MenosLamentoyMasAccion|@JohnMcCLANE_ #334 Cerrar @ andoni1988 # 324 Es que lo que es delito o no, no lo decidimos cada uno según nos parece. Hay algo por ahí que lo llaman Ley, creo, que lo delimita. Me parece que cuando alguien filtra un documento confidencial la ley dice que es delito, aunque lo que dijese ese documento ya hubiera llegado en el boca-oreja a la isla de Sentinel el secreto es sólo si perdura entre las dos partes en cuanto los datos se ponen en conocimiento de una tercera parte, deja de ser secreto señor, se ha hecho hecho público. Los periodistas han afirmado que tenían la información del pacto antes de que se enviara el mail que atribuyen al FGE. No hubo revelación de secreto, porque era ya de dominio público, periodistas, Rodríguez... etc....etc.
ADELE_|@El_futuro_ya_paso #335 Cerrar Hombre, @ _Placebito72 # 329, usted por aquí... qué raro. Me duele verle tan débil, El Futuro. Con lo que usted ha sido.
MenosLamentoyMasAccion|@JohnMcCLANE_ #334 Cerrar @ andoni1988 # 324 Es que lo que es delito o no, no lo decidimos cada uno según nos parece. Hay algo por ahí que lo llaman Ley, creo, que lo delimita. Me parece que cuando alguien filtra un documento confidencial la ley dice que es delito, aunque lo que dijese ese documento ya hubiera llegado en el boca-oreja a la isla de Sentinel efectivamente el documento lo filtra la fiscalía de la Audiencia de Madrid entre otros a periodistas del diario el país.Es ahí cuando deja de ser secreto.
Pirulas3|@Bartleby #277 Cerrar @ tienesrazon # 159 tú eres muy especial. Y encima, en tu casa no lo saben. Deben ser casi tan especiales como tú. Casi, porque es imposible. Jajajajaja. Habló Barti y dijo miau...
Pirulas3|@MenosLamentoyMasAccion #315 Cerrar @ Pedro_Balboa # 307 sumido en la miseria estás tú. Los datos económicos de España son abrumadoramente positivos, aunque te pese patriota de hojalata, gracias a la gestión de Pedro Sánchez. Sí, el 32% de los niños en riesgo de exclusión es lo que dicen. También gritan, yuppon, no nos gusta el lamento, que le den por saco a acción...
_Placebo72|@tienesrazon #314 Cerrar Es imposible meterse en la mente de un rojo. Por ejemplo, yo tengo el historial médico de José, se los enseño a mis amigos Juan y Vicente, y tachannnnnn, ya no es secreto. Después lo publico en redes, y un juez me empura, claro, pero como soy rojo le digo al juez, yeeeeee que no es secreto, que mis amigos Juan y Vicente ya lo sabían, jajajaja. Asina son los rojos. Vaya chorradas que escribe el Friki este. Antes de que se publicara este Historial Medico que mucha gente conocía, hubo cierto borrachín que sin autorización publicó una versión manipulada del mismo.
librodearena|El comando Rubalcaba al rescate
JohnMcCLANE_|@ADELE_ #301 Cerrar @ JohnMcCLANE_ # 292 Y han aparecido numerosas pruebas de que el fiscal filtró los correos, como por ejemplo "Churruca" y "Triskis". sí, Peggy, sí. Lo que tú gruñas.
Stopfascismo|@pedro28 #322 Cerrar Lo País, hace años que dejé de leer un periodico que su credibilidad me parece la misma que la de Sánchez. lo cope lo mundo lo abc lo confidencial lo Telemadrid es lo q ve usted, lee y escucha usted no?. Jajajaja
_Placebo72|@Pedro_Balboa #330 Cerrar @ andoni1988 # 324 Claro, decir que todos conocen el contenido de unos documentos no es delito, el delito es difundir los documentos, ¿sí? Difundir un documento, alterando su contenido,es tambien delito?
El_futuro_ya_paso|Hombre, @_Placebito72 #329 Cerrar @ Pedro_Balboa # 323 Ojú. Usted no, pero si sabe lo que tiene en la cabeza el juez Hurtado?Pues vaya. , usted por aquí... qué raro.
JohnMcCLANE_|@andoni1988 #324 Cerrar @ Pedro_Balboa # 303 si todo el mundo sabe algo , decirlo no es delito .. nada que ver con un vídeo Es que lo que es delito o no, no lo decidimos cada uno según nos parece. Hay algo por ahí que lo llaman Ley, creo, que lo delimita. Me parece que cuando alguien filtra un documento confidencial la ley dice que es delito, aunque lo que dijese ese documento ya hubiera llegado en el boca-oreja a la isla de Sentinel
ADELE_|@pedro28 #322 Cerrar Lo País, hace años que dejé de leer un periodico que su credibilidad me parece la misma que la de Sánchez. Yo también prefiero El Mundo. Por ejemplo, este titular lo han manipulado justo como yo quería. Gustarme.
Luis76|El subdirector de el país dijo en un acta notarial lo que luego han desmentido en el supremo... Vayan pasando
ElVentorro|@Pedro_Balboa #327 Cerrar @ ElVentorro # 321 A parte de que esos datos son absolutamente manipulados, manda narices que los «socialistas» defiendan que «el estar bien de un estado» tiene una fundamentación meramente económica (y no social). La realidad social es que no se puede comprar una casa, que no se puede salir a la calle con la tranquilidad de que no te apuñale un moro, que la gente no tiene ni para el alquiler, que los servicios públicos funcionan peor que nunca, que la educación es la peor de los últimos cien años, y que hay más violaciones que nunca en el país. Preferiría ir un poco más apretado en mi presupuesto y que las cosas fueran como hace veinte o treinta años. Que no se pueden comprar una casa ? Parafraseando a vuestro admirado Aznar , si la vivienda está cara es por que los españoles la pueden pagar
Pedro_Balboa|@andoni1988 #324 Cerrar @ Pedro_Balboa # 303 si todo el mundo sabe algo , decirlo no es delito .. nada que ver con un vídeo Claro, decir que todos conocen el contenido de unos documentos no es delito, el delito es difundir los documentos, ¿sí?
_Placebo72|@Pedro_Balboa #323 Cerrar @ _Placebo72 # 318 Yo no, pero, al parecer, el juez sí. Puesto que García Ortiz es el único del que se conoce que filtró los documentos originales (no sólo el chascarrillo). es culpable, y será condenado acorde a ello. Aunque todos sabemos que esos documentos los filtro con anterioridad el UNO, pero las pruebas de ello fueron destruidas y, afortunadamente, todavía vivimos en un país donde no se puede juzgar sin pruebas... Ojú. Usted no, pero si sabe lo que tiene en la cabeza el juez Hurtado?Pues vaya.
Segistobre|Qué gracia Buenafuente. Dice que desde que Feijóo se operó de la vista parece como si fuera siempre buscando algo y que se le ha quedado una mirada de pez a punto de caducar.
Pedro_Balboa|@ElVentorro #321 Cerrar @ MenosLamentoyMasAccion # 315 España va bien . Va mejor que nunca y los fachistas no lo pueden soportar A parte de que esos datos son absolutamente manipulados, manda narices que los «socialistas» defiendan que «el estar bien de un estado» tiene una fundamentación meramente económica (y no social). La realidad social es que no se puede comprar una casa, que no se puede salir a la calle con la tranquilidad de que no te apuñale un moro, que la gente no tiene ni para el alquiler, que los servicios públicos funcionan peor que nunca, que la educación es la peor de los últimos cien años, y que hay más violaciones que nunca en el país. Preferiría ir un poco más apretado en mi presupuesto y que las cosas fueran como hace veinte o treinta años.
andoni1988|@Plamenchu #320 Cerrar Que van a decir los empleados de tirano. no dicen nada , tienen whatsapl de días antes
Segistobre|Piden que el dueño de El Ventorro comparezca en la Comisión de Investigación de la DANA en el Congreso.
andoni1988|@Pedro_Balboa #303 Cerrar @ Jorobado # 296 No tienen nada. Tienen conversaciones entre ellos hablando que conocen el contenido de los documentos que luego se filtraron. Pero eso no es delito, el delito es hacer públicos los documentos en sí, tal y como hizo el fiscal. Todo el mundo tenía conocimiento de los videos indecorosos de Pedro.J.Ramírez, y la gente divulgaba conocer el contenido de estos sin tener las pruebas gráficas de los mismos, lo cuál, no es delito en sí. El delito fue cometido por aquellos que lo hicieron público. Pero, ¿cómo hacer entender al que no quiere? si todo el mundo sabe algo , decirlo no es delito .. nada que ver con un vídeo
Pedro_Balboa|@_Placebo72 #318 Cerrar @ Pedro_Balboa # 312 Usted sabe a ciencia cierta que ha sido el FG el que filtró el documento o es un chascarrillo que alguien le ha susurrado al oído? Yo no, pero, al parecer, el juez sí. Puesto que García Ortiz es el único del que se conoce que filtró los documentos originales (no sólo el chascarrillo). es culpable, y será condenado acorde a ello. Aunque todos sabemos que esos documentos los filtro con anterioridad el UNO, pero las pruebas de ello fueron destruidas y, afortunadamente, todavía vivimos en un país donde no se puede juzgar sin pruebas...
pedro28|Lo País, hace años que dejé de leer un periodico que su credibilidad me parece la misma que la de Sánchez.
ElVentorro|@MenosLamentoyMasAccion #315 Cerrar @ Pedro_Balboa # 307 sumido en la miseria estás tú. Los datos económicos de España son abrumadoramente positivos, aunque te pese patriota de hojalata, gracias a la gestión de Pedro Sánchez. España va bien . Va mejor que nunca y los fachistas no lo pueden soportar
Plamenchu|Que van a decir los empleados de tirano.
Corruptodeizquierdas|Es irrelevante q efectos de la comisión del delito por el sicario de Sánchez lo que puedan decir estos personajes periodistas de medio pelo. Han conformado artificialmente una prueba que no vale para nada. Álvaro filtró el mail an Oscar López y su camarilla por lo que será juzgado y condenado. Y lo va a delatar su querida Fiscal para salvar del marrón (condena).
_Placebo72|@Pedro_Balboa #312 Cerrar @ Segistobre # 305 Registraron ante notario que conocían un chascarrillo. El delito es hacer públicos y difundir los documentos sujeto de chascarrillo Usted sabe a ciencia cierta que ha sido el FG el que filtró el documento o es un chascarrillo que alguien le ha susurrado al oído?
yomimeconmigo|Lobato fue antes de que saliera todo para dejar constancia por acta notarial de lo que le había dicho la número 2 de Bolaños. Estos 4 periodistas han ido a hacer un acta notarial que no sirve de nada, porque lo que son testigos de la defensa y eso del notario no sirve de nada
anbormar|@Bartleby #282 Cerrar @ anbormar # 256 y tú no habrás escrito mal la palabra anormal? Te define mejor, ciertamente. jajaja ¿. Mamporrero !!!!
MenosLamentoyMasAccion|@Pedro_Balboa #307 Cerrar @ JohnMcCLANE_ # 292 De hecho, llevo tiempo pensando que Sánchez no es el problema. sino la consecuencia, el reflejo de una sociedad aborregada que, prefiere estar sumida en la miseria, siempre y cuando el vecino esté un poquito más hundido sumido en la miseria estás tú. Los datos económicos de España son abrumadoramente positivos, aunque te pese patriota de hojalata, gracias a la gestión de Pedro Sánchez.
tienesrazon|Es imposible meterse en la mente de un rojo. Por ejemplo, yo tengo el historial médico de José, se los enseño a mis amigos Juan y Vicente, y tachannnnnn, ya no es secreto. Después lo publico en redes, y un juez me empura, claro, pero como soy rojo le digo al juez, yeeeeee que no es secreto, que mis amigos Juan y Vicente ya lo sabían, jajajaja. Asina son los rojos.
_Placebo72|@Pedro_Balboa #260 Cerrar @ espantajo # 243 Te pongo un ejemplo. Una menor se graba manteniendo relaciones sexuales con su novio, éste se lo envía a un amigo, y éste amigo se lo muestra a toda su clase de la escuela (sn enviar el contenido). Entonces el que ha mostrado el video a su clase, dice que él no es el primero que tuvo el video, pero por no delatar a aquel, borra todos sus dispositivos imposibilitando rastrear el original. Lo mandan a juicio, y sus compañeros de escuela van al juez diciendo que si bien él les mostró el video, resulta que alguien antes les había hablado del contenido de ese video: la chica del video le comentó a sus amigas que estaba preocupada porque se había grabado con el novio y ahora temía que se supiera, y las amigas cuchichearon sobre la existencia de ese video). ¿Crees que un juez normal eximiría de delito al que lo ha mostrado? En todo caso el que lo ha mostrado es un culpable más de una cadena, de la que no se conoce el inicio. Está dando usted a entender que cuando el PP destrozó a martillazos los ordenadores de Bárcenas, imposibilitando a la policía acceder a su contenido, era porque contenían una información comprometida para ellos y el juez tenía que haber empapelado a Rajoy porque era el dueño del cortijo en ese momento?
Pedro_Balboa|@Segistobre #305 Cerrar @ Pedro_Balboa # 298 Los periodistas de El País consignaron ante un notario mensajes y llamadas que acreditan que en la mañana del 12 de marzo de 2024 un trabajador de la Fiscalía de Madrid les confirmó que los abogados de González Amador negociaban un posible pacto. Registraron ante notario que conocían un chascarrillo. El delito es hacer públicos y difundir los documentos sujeto de chascarrillo
tienesrazon|@Pedro_Balboa #260 Cerrar @ espantajo # 243 Te pongo un ejemplo. Una menor se graba manteniendo relaciones sexuales con su novio, éste se lo envía a un amigo, y éste amigo se lo muestra a toda su clase de la escuela (sn enviar el contenido). Entonces el que ha mostrado el video a su clase, dice que él no es el primero que tuvo el video, pero por no delatar a aquel, borra todos sus dispositivos imposibilitando rastrear el original. Lo mandan a juicio, y sus compañeros de escuela van al juez diciendo que si bien él les mostró el video, resulta que alguien antes les había hablado del contenido de ese video: la chica del video le comentó a sus amigas que estaba preocupada porque se había grabado con el novio y ahora temía que se supiera, y las amigas cuchichearon sobre la existencia de ese video). ¿Crees que un juez normal eximiría de delito al que lo ha mostrado? En todo caso el que lo ha mostrado es un culpable más de una cadena, de la que no se conoce el inicio. Demasiado difícil de entender para un rojo. Dale cuatro o cinco horas para que lo pille, y después para que salga corriendo.
Segistobre|'El País' va a aportar nuevos WhatsApp que acreditan que la filtración no salió del fiscal general. Un periodista asegura que tiene conversaciones con Miguel Ángel Rodríguez preguntando por el acuerdo de conformidad mucho antes de que el FGE pidiera la copia del correo.
tienesrazon|@ElVentorro #262 Cerrar @ tienesrazon # 231 Por que es mentira . No merece ni respuesta . Ya ya Estandita, de ti no esperaba razonamiento, aún no lo he visto nunca, jaja.
tienesrazon|@MenosLamentoyMasAccion #268 Cerrar @ tienesrazon # 245 el ministro de justicia Rafael Catalá, José Manuel Maza, fiscal general con Rajoy, fueron reprobados en el congreso de los diputados por abrumadora mayoría, por incumplimiento grave de sus funciones al negarse a investigar al corrupto presidente ppero de Murcia e¿injerencia¿ en procedimientos judiciales en los que están investigados cargos públicos del Partido Popular. jajajaja, ¿y?. Mi abuela, la pobre ya murió hace años, con lo que yo la quería, una pena.
